24I1	24I2	24I3	8I1	8I2	8I3
Solyc01g079390.2.1	0	0	0	787750	729250	612210
Solyc01g091370.2.1	0	0	0	4913800	6369600	6215200
Solyc01g096370.2.1	0	0	0	1038800	1519300	1734300
Solyc02g084600.2.1	0	0	0	2725900	1757600	2389400
Solyc04g007010.2.1	0	0	0	3558400	3264000	3830500
Solyc04g081300.2.1	0	0	0	942850	832960	1381400
Solyc06g060520.1.1	0	0	0	3888400	4452700	6764700
Solyc08g074740.2.1	0	0	0	1773300	1887100	2312900
Solyc12g006620.1.1	0	0	0	2804700	2755900	1355100
Solyc12g094470.1.1	0	0	0	2605000	2800200	4097600
NA	NA	NA	NA	NA	NA	NA
