ShortenedID	LFQ.intensity.24hrsI-Rep1	LFQ.intensity.24hrsI-Rep2	LFQ.intensity.24hrsI-Rep3	LFQ.intensity.24hrsNI-Rep1	LFQ.intensity.24hrsNI-Rep2	LFQ.intensity.24hrsNI-Rep3	LFQ.intensity.8hrsI-Rep1	LFQ.intensity.8hrsI-Rep2	LFQ.intensity.8hrsI-Rep3	LFQ.intensity.8hrsNI-Rep1	LFQ.intensity.8hrsNI-Rep2	LFQ.intensity.8hrsNI-Rep3
Solyc05g051570.2.1	0	0	1499800	0	0	0	0	0	0	0	0	0
Solyc00g006810.2.1	728010	1303100	1598300	0	0	0	0	0	0	0	0	0
Solyc00g007070.2.1	38550000	19650000	34152000	49896000	53344000	48058000	33363000	43496000	20522000	43914000	45399000	61623000
Solyc00g007160.1.1	0	0	0	0	0	0	0	0	0	0	0	554740
Solyc00g007270.2.1	13734000	12915000	22482000	38586000	28250000	18547000	30689000	28440000	31876000	15663000	42714000	16608000
Solyc00g009020.2.1	12760000	45719000	2631800	1988500	1578300	1350900	1698000	1952200	1280400	0	1236700	1258500
Solyc00g244290.1.1	0	6920600	0	0	0	0	0	0	0	0	0	0
Solyc00g014830.2.1	4700100	21374000	2532000	1093400	3221500	1107800	1636800	1616100	1309300	0	1430700	1328600
Solyc00g019950.1.1	2062500	5118400	1383000	742390	1055200	825130	0	698050	0	0	0	0
Solyc00g027770.2.1	0	0	0	0	1273300	0	0	1178400	1154200	1424100	0	557080
Solyc00g042130.1.1	249600000	549570000	136860000	17277000	18656000	33323000	24625000	28707000	33870000	10782000	39168000	17184000
Solyc00g042140.1.1	8376000	8202100	2985900	0	0	0	7606800	5856200	0	0	0	0
Solyc00g071180.2.1	584060000	210780000	207910000	802470000	473830000	276470000	184000000	348350000	374260000	208700000	435730000	64471000
Solyc00g082150.2.1	4313300	3610800	3786000	4300800	5502200	5367000	3662200	6802400	5765700	6270600	7285500	5725800
Solyc00g094530.1.1	0	7960500	0	0	0	0	0	0	0	0	0	0
Solyc00g156980.2.1	0	0	0	3579300	0	0	0	0	0	7294400	2038400	0
Solyc00g174340.1.1	7665700	13216000	25793000	0	0	0	0	342240	0	0	0	0
Solyc00g184350.2.1	9915200	10052000	8036700	12313000	12095000	10803000	12724000	11033000	13044000	7544100	11879000	8276000
Solyc00g187050.2.1	0	4510000	0	0	0	0	0	0	0	0	0	0
Solyc00g206460.1.1	0	0	0	0	0	0	0	0	0	0	1171000	0
Solyc00g230080.1.1	157530000	277850000	123590000	10743000	9824900	13474000	28537000	30429000	28728000	5446300	9093800	8113400
Solyc01g005220.2.1	0	0	0	0	0	0	0	0	0	0	10241000	0
Solyc01g005250.2.1	1597000	7720600	0	989270	0	0	0	0	0	0	0	0
Solyc01g005520.2.1	14124000	101150000	4036400	433280	0	335160	844880	1333000	221750	0	506140	790520
Solyc01g005560.2.1	4083300	10788000	3110000	0	0	0	0	0	0	0	0	0
Solyc01g005620.2.1	45599000	111610000	40795000	12651000	19595000	18416000	13917000	29993000	17467000	14052000	14881000	29279000
Solyc01g005810.2.1	20206000	16655000	32881000	59782000	47470000	29976000	56395000	42920000	32572000	56313000	33428000	35985000
Solyc01g005820.2.1	420980000	217200000	263400000	555440000	449380000	415040000	339780000	363210000	308230000	594300000	596910000	453220000
Solyc01g005960.2.1	7136200	4698400	5191300	5385500	7800800	6285100	5590300	10170000	4362600	6823600	8014000	7548900
