8I1	8I2	8I3	8NI1	8NI2	8NI3
Solyc01g073750.2.1	0	0	0	4121900	1010900	2258500
Solyc01g095040.2.1	0	0	0	818420	769440	811520
Solyc02g084000.2.1	0	0	0	3345400	1352900	2138900
Solyc02g086510.2.1	0	0	0	774160	1848000	767120
Solyc02g093940.2.1	0	0	0	604640	478870	588060
Solyc03g082480.2.1	0	0	0	1771800	913210	2842200
Solyc03g083310.2.1	0	0	0	1807600	871610	1751500
Solyc03g083520.2.1	0	0	0	1331500	1276800	1047900
Solyc04g054700.2.1	0	0	0	738590	495120	923590
Solyc06g035970.2.1	0	0	0	4773800	3829500	3867700
Solyc06g074600.1.1	0	0	0	4837100	3448800	5178300
Solyc08g021910.1.1	0	0	0	1276200	1075700	787300
Solyc08g061100.2.1	0	0	0	904470	983460	1082100
Solyc08g069160.2.1	0	0	0	473460	353230	405430
Solyc09g008280.1.1	0	0	0	2505100	5855600	2614300
Solyc10g079580.1.1	0	0	0	1497500	983990	1785800
Solyc12g056740.1.1	0	0	0	1277600	741110	723420
Solyc12g089340.1.1	0	0	0	1396000	1120900	890760
Solyc12g099890.1.1	0	0	0	547620	508040	1319300
NA	NA	NA	NA	NA	NA	NA
