8I1	8I2	8I3	8NI1	8NI2	8NI3
Solyc01g100330.2.1	978990	1156800	849210	0	0	0
Solyc01g104170.2.1	753150	800760	1134700	0	0	0
Solyc02g090490.2.1	2377700	1916700	5988200	0	0	0
Solyc03g119250.2.1	4324000	4677400	1692800	0	0	0
Solyc05g052760.2.1	2377100	2078600	5231100	0	0	0
Solyc07g007670.2.1	863780	1143300	1270400	0	0	0
Solyc07g051850.2.1	1683800	1646400	846890	0	0	0
Solyc07g054820.2.1	430870	828560	321640	0	0	0
Solyc07g055710.2.1	2797200	2223500	1705800	0	0	0
Solyc07g066470.2.1	935360	1214000	636530	0	0	0
Solyc08g069030.2.1	1189600	1318700	395050	0	0	0
Solyc08g074740.2.1	1773300	1887100	2312900	0	0	0
Solyc09g014990.2.1	1259100	1525500	1102000	0	0	0
Solyc10g006560.2.1	4560300	3563600	354260	0	0	0
NA	NA	NA	NA	NA	NA	NA
