24I1	24I2	24I3	8I1	8I2	8I3
Solyc00g006810.2.1	728010	1303100	1598300	0	0	0
Solyc01g005560.2.1	4083300	10788000	3110000	0	0	0
Solyc01g006950.2.1	6299200	6258500	2981700	0	0	0
Solyc01g006980.2.1	1302400	6246500	971300	0	0	0
Solyc01g007290.1.1	2191700	5852900	3046200	0	0	0
Solyc01g007340.2.1	964770	2671900	1059300	0	0	0
Solyc01g009080.2.1	3190000	13808000	2717500	0	0	0
Solyc01g010760.2.1	2855800	5035900	1712100	0	0	0
Solyc01g067750.2.1	341020	1419500	317070	0	0	0
Solyc06g009660.2.1	1068700	3549900	2107400	0	0	0
Solyc01g080010.2.1	5680300	7916500	2759800	0	0	0
Solyc01g091580.2.1	2030300	4829700	1321400	0	0	0
Solyc01g094200.2.1	2179000	13140000	2358000	0	0	0
Solyc01g095070.2.1	4949200	4285400	6992400	0	0	0
Solyc01g095430.2.1	5313800	24278000	5495600	0	0	0
Solyc01g096240.2.1	11084000	58151000	8252100	0	0	0
Solyc01g099370.2.1	5685300	3733700	2563700	0	0	0
Solyc01g099890.2.1	1380700	1908200	983700	0	0	0
Solyc01g100520.2.1	2801200	18293000	1278000	0	0	0
Solyc01g105050.2.1	11413000	16240000	9760000	0	0	0
Solyc01g106010.2.1	393000	1645200	434220	0	0	0
Solyc01g107150.2.1	731300	543780	843610	0	0	0
Solyc01g107330.2.1	2647100	2332200	842380	0	0	0
Solyc01g107820.2.1	2780500	5890800	1334900	0	0	0
Solyc01g109140.2.1	5082900	14513000	2874700	0	0	0
Solyc01g111200.2.1	1232400	1145800	867620	0	0	0
Solyc01g111450.2.1	1648300	5870600	1317600	0	0	0
Solyc02g005210.2.1	698050	1724000	658950	0	0	0
Solyc02g049070.2.1	1106800	3827200	1498300	0	0	0
Solyc02g063490.2.1	1134900	3104600	2618900	0	0	0
Solyc02g065090.2.1	2680200	11652000	1430700	0	0	0
Solyc02g065300.1.1	573630	3658700	645210	0	0	0
Solyc02g067180.2.1	2178500	7681800	1773000	0	0	0
Solyc02g071890.2.1	1171200	2216500	1051100	0	0	0
Solyc02g077080.2.1	3084700	1713800	2677400	0	0	0
Solyc02g077290.1.1	4353700	1740000	1305600	0	0	0
Solyc02g079170.2.1	1220100	5155400	1161500	0	0	0
Solyc02g079220.2.1	3870100	5940200	1658100	0	0	0
Solyc02g079750.2.1	2557400	2658400	1125000	0	0	0
Solyc02g080570.2.1	999580	4879700	860910	0	0	0
Solyc02g082450.2.1	1121700	5906200	723650	0	0	0
Solyc02g083410.2.1	489230	1772800	345420	0	0	0
Solyc02g083800.2.1	2848800	2697100	2830600	0	0	0
Solyc02g087070.2.1	4246600	15098000	2647100	0	0	0
Solyc02g090890.2.1	1828900	7249500	1386500	0	0	0
Solyc02g091100.2.1	2208600	3810300	2975900	0	0	0
Solyc03g005280.2.1	7804800	15296000	7113500	0	0	0
Solyc03g005730.2.1	1674100	7154000	1441500	0	0	0
Solyc03g020010.1.1	5201400	9359600	1129800	0	0	0
Solyc03g034170.2.1	3861500	28501000	2526300	0	0	0
Solyc03g053110.2.1	4391000	17988000	1721800	0	0	0
Solyc03g062720.2.1	7619400	26373000	4696000	0	0	0
Solyc03g082500.2.1	1134400	1145600	1117700	0	0	0
Solyc03g082560.2.1	1561700	1854400	1143000	0	0	0
Solyc03g095360.2.1	1712000	2805400	2248000	0	0	0
Solyc03g095470.2.1	823520	1415100	666060	0	0	0
Solyc03g097840.2.1	7837900	22528000	6724200	0	0	0
Solyc03g098740.1.1	2357100	3899300	3029100	0	0	0
Solyc03g111610.2.1	7274400	16196000	5901200	0	0	0
Solyc03g116750.2.1	2997200	3094400	2726200	0	0	0
Solyc03g118390.2.1	6203800	8261600	5316600	0	0	0
Solyc03g120670.2.1	629390	2684200	420900	0	0	0
Solyc03g121590.2.1	1757900	2024600	2027200	0	0	0
Solyc03g121720.2.1	8115300	18596000	5728000	0	0	0
Solyc04g009940.2.1	825020	3034200	735630	0	0	0
Solyc04g040130.1.1	2563800	2777700	3099900	0	0	0
Solyc04g049090.2.1	3364400	3846000	1478400	0	0	0
Solyc04g049350.2.1	1785900	8092700	1886400	0	0	0
Solyc04g051580.2.1	410870	2491000	398530	0	0	0
Solyc04g054890.2.1	3886600	7370200	2637600	0	0	0
Solyc04g057980.2.1	2464500	6993400	727900	0	0	0
Solyc04g064880.2.1	4737100	9630500	361720	0	0	0
Solyc04g073950.1.1	1811900	1518800	1507300	0	0	0
Solyc04g074230.2.1	1692400	4616300	3293400	0	0	0
Solyc04g076060.2.1	1183500	996810	2539700	0	0	0
Solyc04g076880.2.1	12051000	62591000	7035800	0	0	0
Solyc04g079240.2.1	3319900	2688500	2180400	0	0	0
Solyc04g080850.2.1	1026200	3978700	864460	0	0	0
Solyc04g081330.2.1	1539000	5320200	2081700	0	0	0
Solyc04g081820.2.1	11228000	17190000	12018000	0	0	0
Solyc04g082500.2.1	3494000	4106700	2046600	0	0	0
Solyc05g009030.2.1	1725600	5383200	1463800	0	0	0
Solyc05g013700.2.1	3489200	889620	1467200	0	0	0
Solyc05g013820.2.1	985640	812120	781740	0	0	0
Solyc05g026490.2.1	289990	1482900	238020	0	0	0
Solyc05g052150.2.1	569030	6275600	2241800	0	0	0
Solyc05g052710.2.1	1409200	2975200	1667800	0	0	0
Solyc05g056260.2.1	582520	1822900	493710	0	0	0
Solyc06g010060.1.1	681240	3025200	1080500	0	0	0
Solyc06g053140.2.1	1145700	13488000	720200	0	0	0
Solyc06g065950.2.1	278540	590360	343310	0	0	0
Solyc06g066620.2.1	728860	13983000	446920	0	0	0
Solyc06g068480.2.1	3397700	15457000	3293100	0	0	0
Solyc06g068670.2.1	1341900	2844000	1278400	0	0	0
Solyc06g071050.2.1	3304700	2970900	3836400	0	0	0
Solyc06g071110.2.1	1524300	796250	1125300	0	0	0
Solyc06g074890.1.1	1852800	6593300	1612600	0	0	0
Solyc06g076160.2.1	5568300	10326000	8987500	0	0	0
Solyc06g082970.2.1	4162400	22869000	3689400	0	0	0
Solyc06g083690.2.1	639680	2623600	654300	0	0	0
Solyc07g006520.2.1	2849400	8274200	2159600	0	0	0
Solyc07g008320.2.1	720360	750510	826080	0	0	0
Solyc07g008550.2.1	3869900	2068300	1906700	0	0	0
Solyc07g043310.2.1	6205000	17876000	2938000	0	0	0
Solyc07g052140.2.1	1475000	1394300	889080	0	0	0
Solyc07g052370.2.1	12859000	16893000	23486000	0	0	0
Solyc07g053620.2.1	1353100	1147400	1224000	0	0	0
Solyc07g055690.1.1	5257200	7264600	4779500	0	0	0
Solyc07g056150.2.1	1245600	4403800	1170300	0	0	0
Solyc08g005590.2.1	690460	3052400	299090	0	0	0
Solyc08g006720.2.1	1233500	6108300	1418800	0	0	0
Solyc08g014130.2.1	678570	1306300	742800	0	0	0
Solyc08g016750.2.1	4367800	6201600	2929900	0	0	0
Solyc08g021910.1.1	1000700	1239100	788320	0	0	0
Solyc08g045710.1.1	9062600	7695300	3805300	0	0	0
Solyc08g048250.2.1	19159000	37819000	12722000	0	0	0
Solyc08g061320.2.1	2740000	2623000	1402600	0	0	0
Solyc08g065490.2.1	1026500	2553100	902760	0	0	0
Solyc08g068730.1.1	9012600	24543000	8531800	0	0	0
Solyc08g074680.2.1	37991000	93254000	42927000	0	0	0
Solyc08g075750.2.1	6974900	14762000	2626400	0	0	0
Solyc08g076450.2.1	391910	6762300	589160	0	0	0
Solyc08g078040.2.1	1844300	3877100	2984700	0	0	0
Solyc08g080050.2.1	2328300	10799000	2129500	0	0	0
Solyc08g080630.2.1	1228500	2506900	1427100	0	0	0
Solyc08g080640.1.1	46058000	52507000	60587000	0	0	0
Solyc08g082400.1.1	2362000	9325700	2789900	0	0	0
Solyc09g008280.1.1	4020300	9473400	3844700	0	0	0
Solyc09g010520.2.1	2243800	3393600	1411000	0	0	0
Solyc09g010930.2.1	1983800	8672700	1924800	0	0	0
Solyc09g011920.2.1	1753200	4586300	2575300	0	0	0
Solyc09g014760.2.1	4474900	22475000	3681100	0	0	0
Solyc09g031920.1.1	616820	1997500	505160	0	0	0
Solyc09g059040.2.1	8284400	9349000	5431600	0	0	0
Solyc09g064850.2.1	911450	1753900	2487600	0	0	0
Solyc09g065270.2.1	5771800	12754000	5522600	0	0	0
Solyc09g075820.2.1	5046800	7047000	4154700	0	0	0
Solyc09g090330.2.1	8601000	36298000	6329000	0	0	0
Solyc09g090980.2.1	3835200	4777900	2259500	0	0	0
Solyc09g091470.2.1	4609000	11158000	4449600	0	0	0
Solyc10g006050.2.1	1335500	867860	1200100	0	0	0
Solyc10g006970.2.1	2540000	9492300	2858700	0	0	0
Solyc10g017890.1.1	20855000	49218000	23221000	0	0	0
Solyc10g047650.1.1	2166400	2768600	1473600	0	0	0
Solyc10g078550.1.1	11915000	46025000	7874000	0	0	0
Solyc10g080320.1.1	901080	3485700	975680	0	0	0
Solyc10g080660.1.1	853730	800720	428810	0	0	0
Solyc10g080710.1.1	6114200	14038000	1957700	0	0	0
Solyc10g083690.2.1	6162400	9398300	4515700	0	0	0
Solyc10g085590.1.1	4057300	7943800	2580900	0	0	0
Solyc11g006020.1.1	707800	5052700	360230	0	0	0
Solyc11g008870.1.1	2227300	5649100	2784400	0	0	0
Solyc11g008980.1.1	489920	1836700	566220	0	0	0
Solyc11g010480.1.1	7060900	22007000	6756600	0	0	0
Solyc11g011020.1.1	1651900	1420500	1083400	0	0	0
Solyc12g008840.1.1	6569600	8745800	3124900	0	0	0
Solyc12g009060.1.1	1422600	2145500	1309000	0	0	0
Solyc12g009600.1.1	4544600	14477000	5935500	0	0	0
Solyc12g044950.1.1	9556800	9770000	4484000	0	0	0
Solyc12g095960.1.1	6298500	5296200	12602000	0	0	0
Solyc12g096700.1.1	1693300	1940500	1495500	0	0	0
Solyc12g098150.1.1	568630	3062300	683760	0	0	0
Solyc12g098740.1.1	3399800	4334000	2008700	0	0	0
Solyc12g099730.1.1	8533100	10509000	3592400	0	0	0
Solyc12g100270.1.1	3362900	4732000	5464900	0	0	0
NA	NA	NA	NA	NA	NA	NA
