24NI1	24NI2	24NI3	8NI1	8NI2	8NI3
Solyc00g019950.1.1	742390	1055200	825130	0	0	0
Solyc01g097520.2.1	681020	1014000	240620	0	0	0
Solyc02g093050.2.1	14988000	14997000	9791600	0	0	0
Solyc03g098730.1.1	764810	1166100	830230	0	0	0
Solyc03g115250.2.1	765720	542350	899270	0	0	0
Solyc06g073870.2.1	408930	659390	693640	0	0	0
Solyc07g051850.2.1	1703400	1387300	1991100	0	0	0
Solyc07g055710.2.1	1354000	1964700	1121600	0	0	0
Solyc08g078440.2.1	558020	554820	648880	0	0	0
Solyc08g081400.2.1	1981500	956570	1209700	0	0	0
Solyc11g010560.1.1	906570	777410	426050	0	0	0
NA	NA	NA	NA	NA	NA	NA
