proteinGroups.nucl.LFQ.intensity.8hrsNI.Rep1	proteinGroups.nucl.LFQ.intensity.8hrsNI.Rep2	proteinGroups.nucl.LFQ.intensity.8hrsNI.Rep3	proteinGroups.nucl.LFQ.intensity.8hrsI.Rep1	proteinGroups.nucl.LFQ.intensity.8hrsI.Rep2	proteinGroups.nucl.LFQ.intensity.8hrsI.Rep3
Solyc01g073750.2.1	4121900	1010900	2258500	0	0	0
Solyc01g095040.2.1	818420	769440	811520	0	0	0
Solyc02g084000.2.1	3345400	1352900	2138900	0	0	0
Solyc02g086510.2.1	774160	1848000	767120	0	0	0
Solyc03g083310.2.1	1807600	871610	1751500	0	0	0
Solyc03g083520.2.1	1331500	1276800	1047900	0	0	0
Solyc04g054700.2.1	738590	495120	923590	0	0	0
Solyc06g035970.2.1	4773800	3829500	3867700	0	0	0
Solyc06g074600.1.1	4837100	3448800	5178300	0	0	0
Solyc08g021910.1.1	1276200	1075700	787300	0	0	0
Solyc08g061100.2.1	904470	983460	1082100	0	0	0
Solyc08g069160.2.1	473460	353230	405430	0	0	0
Solyc10g079580.1.1	1497500	983990	1785800	0	0	0
Solyc12g056740.1.1	1277600	741110	723420	0	0	0
Solyc12g099890.1.1	547620	508040	1319300	0	0	0
