proteinGroups.nucl.LFQ.intensity.8hrsNI.Rep1	proteinGroups.nucl.LFQ.intensity.8hrsNI.Rep2	proteinGroups.nucl.LFQ.intensity.8hrsNI.Rep3	proteinGroups.nucl.LFQ.intensity.8hrsI.Rep1	proteinGroups.nucl.LFQ.intensity.8hrsI.Rep2	proteinGroups.nucl.LFQ.intensity.8hrsI.Rep3
Solyc01g100330.2.1	0	0	0	978990	1156800	849210
Solyc01g104170.2.1	0	0	0	753150	800760	1134700
Solyc02g090490.2.1	0	0	0	2377700	1916700	5988200
Solyc03g119250.2.1	0	0	0	4324000	4677400	1692800
Solyc07g007670.2.1	0	0	0	863780	1143300	1270400
Solyc07g055710.2.1	0	0	0	2797200	2223500	1705800
Solyc08g069030.2.1	0	0	0	1189600	1318700	395050
Solyc08g074740.2.1	0	0	0	1773300	1887100	2312900
Solyc09g014990.2.1	0	0	0	1259100	1525500	1102000
Solyc10g006560.2.1	0	0	0	4560300	3563600	354260
