proteinGroups.nucl.LFQ.intensity.24hrsNI.Rep1	proteinGroups.nucl.LFQ.intensity.24hrsNI.Rep2	proteinGroups.nucl.LFQ.intensity.24hrsNI.Rep3	proteinGroups.nucl.LFQ.intensity.24hrsI.Rep1	proteinGroups.nucl.LFQ.intensity.24hrsI.Rep2	proteinGroups.nucl.LFQ.intensity.24hrsI.Rep3
Solyc01g006030.2.1	36601000	37297000	25651000	0	0	0
Solyc01g087900.2.1	1696100	2001300	1891800	0	0	0
Solyc01g091370.2.1	6813800	6424400	5123700	0	0	0
Solyc01g095900.2.1	1356300	1748500	1250300	0	0	0
Solyc01g096370.2.1	2137000	1656700	958730	0	0	0
Solyc01g104350.2.1	1663200	1580200	1423300	0	0	0
Solyc02g014460.2.1	1327900	1142400	1279900	0	0	0
Solyc02g050280.2.1	5494300	4357400	4947300	0	0	0
Solyc02g084600.2.1	7027000	3185000	2249100	0	0	0
Solyc02g084990.2.1	1311000	3105200	741610	0	0	0
Solyc02g090710.2.1	1477900	1334600	1592300	0	0	0
Solyc03g115250.2.1	765720	542350	899270	0	0	0
Solyc03g119780.2.1	954100	682110	778180	0	0	0
Solyc04g079590.2.1	2305400	1623900	1587600	0	0	0
Solyc06g060520.1.1	3857800	5640700	8978900	0	0	0
Solyc06g068400.2.1	1165300	7744200	4788100	0	0	0
Solyc07g005890.2.1	1474100	1280500	1529200	0	0	0
Solyc07g006220.1.1	4717700	3465500	2597000	0	0	0
Solyc07g043600.2.1	1545700	3807400	2000900	0	0	0
Solyc07g049500.2.1	1262100	2209200	932040	0	0	0
Solyc07g064700.2.1	2848600	3257300	2516200	0	0	0
Solyc08g061100.2.1	953180	772480	806220	0	0	0
Solyc08g081340.2.1	1509900	1866600	1647300	0	0	0
Solyc08g081400.2.1	1981500	956570	1209700	0	0	0
Solyc09g064840.2.1	5296700	3338900	4903100	0	0	0
Solyc09g076050.2.1	1163800	1417500	1631400	0	0	0
Solyc09g091190.2.1	601910	504500	680860	0	0	0
Solyc11g039880.1.1	1405400	1136300	1658100	0	0	0
Solyc12g006320.1.1	1822000	2213300	2070800	0	0	0
Solyc12g006620.1.1	2216200	3023800	1875700	0	0	0
Solyc12g099890.1.1	553610	165290	1409300	0	0	0
