proteinGroups.nucl.LFQ.intensity.24hrsNI.Rep1	proteinGroups.nucl.LFQ.intensity.24hrsNI.Rep2	proteinGroups.nucl.LFQ.intensity.24hrsNI.Rep3	proteinGroups.nucl.LFQ.intensity.24hrsI.Rep1	proteinGroups.nucl.LFQ.intensity.24hrsI.Rep2	proteinGroups.nucl.LFQ.intensity.24hrsI.Rep3
Solyc01g006950.2.1	0	0	0	6299200	6258500	2981700
Solyc01g066840.2.1	0	0	0	1525000	4156900	141380
Solyc01g067750.2.1	0	0	0	341020	1419500	317070
Solyc06g009660.2.1	0	0	0	1068700	3549900	2107400
Solyc01g095070.2.1	0	0	0	4949200	4285400	6992400
Solyc01g099370.2.1	0	0	0	5685300	3733700	2563700
Solyc01g106010.2.1	0	0	0	393000	1645200	434220
Solyc01g107330.2.1	0	0	0	2647100	2332200	842380
Solyc01g108660.2.1	0	0	0	2363500	6540100	1824700
Solyc01g109140.2.1	0	0	0	5082900	14513000	2874700
Solyc01g111200.2.1	0	0	0	1232400	1145800	867620
Solyc02g021290.1.1	0	0	0	198530000	131710000	91102000
Solyc02g079230.2.1	0	0	0	1683900	1724900	1061800
Solyc02g079750.2.1	0	0	0	2557400	2658400	1125000
Solyc02g080570.2.1	0	0	0	999580	4879700	860910
Solyc02g087250.2.1	0	0	0	1383600	3873500	976360
Solyc03g053110.2.1	0	0	0	4391000	17988000	1721800
Solyc03g062720.2.1	0	0	0	7619400	26373000	4696000
Solyc03g062790.2.1	0	0	0	1434700	9637700	1239500
Solyc03g082500.2.1	0	0	0	1134400	1145600	1117700
Solyc03g082560.2.1	0	0	0	1561700	1854400	1143000
Solyc03g097800.2.1	0	0	0	2972100	10873000	6205600
Solyc03g097840.2.1	0	0	0	7837900	22528000	6724200
Solyc03g118390.2.1	0	0	0	6203800	8261600	5316600
Solyc03g119250.2.1	0	0	0	3062500	1400100	3123200
Solyc03g120430.2.1	0	0	0	8747200	19607000	4993400
Solyc03g121590.2.1	0	0	0	1757900	2024600	2027200
Solyc03g121910.1.1	0	0	0	4905700	15471000	2099600
Solyc04g051580.2.1	0	0	0	410870	2491000	398530
Solyc04g054890.2.1	0	0	0	3886600	7370200	2637600
Solyc04g057980.2.1	0	0	0	2464500	6993400	727900
Solyc04g064880.2.1	0	0	0	4737100	9630500	361720
Solyc04g073950.1.1	0	0	0	1811900	1518800	1507300
Solyc04g074230.2.1	0	0	0	1692400	4616300	3293400
Solyc04g074550.2.1	0	0	0	835670	3720200	851080
Solyc04g076060.2.1	0	0	0	1183500	996810	2539700
Solyc04g076880.2.1	0	0	0	12051000	62591000	7035800
Solyc04g081330.2.1	0	0	0	1539000	5320200	2081700
Solyc04g081820.2.1	0	0	0	11228000	17190000	12018000
Solyc04g082500.2.1	0	0	0	3494000	4106700	2046600
Solyc05g009030.2.1	0	0	0	1725600	5383200	1463800
Solyc05g013700.2.1	0	0	0	3489200	889620	1467200
Solyc05g013820.2.1	0	0	0	985640	812120	781740
Solyc05g052710.2.1	0	0	0	1409200	2975200	1667800
Solyc05g053830.2.1	0	0	0	7584700	21831000	4313800
Solyc05g055770.2.1	0	0	0	2053700	3047800	618660
Solyc05g056230.2.1	0	0	0	3711400	8477900	3409300
Solyc05g056260.2.1	0	0	0	582520	1822900	493710
Solyc06g065950.2.1	0	0	0	278540	590360	343310
Solyc06g071110.2.1	0	0	0	1524300	796250	1125300
Solyc06g076160.2.1	0	0	0	5568300	10326000	8987500
Solyc06g082970.2.1	0	0	0	4162400	22869000	3689400
Solyc06g083390.2.1	0	0	0	2839000	2781700	1594000
Solyc06g083680.2.1	0	0	0	17573000	72654000	10634000
Solyc07g008550.2.1	0	0	0	3869900	2068300	1906700
Solyc07g049530.2.1	0	0	0	4339600	6504100	1176200
Solyc07g052370.2.1	0	0	0	12859000	16893000	23486000
Solyc07g053620.2.1	0	0	0	1353100	1147400	1224000
Solyc07g066430.2.1	0	0	0	2165200	9717000	1474400
Solyc08g006720.2.1	0	0	0	1233500	6108300	1418800
Solyc08g016750.2.1	0	0	0	4367800	6201600	2929900
Solyc08g061320.2.1	0	0	0	2740000	2623000	1402600
Solyc08g065490.2.1	0	0	0	1026500	2553100	902760
Solyc08g066180.2.1	0	0	0	3927000	3142700	1700100
Solyc08g068730.1.1	0	0	0	9012600	24543000	8531800
Solyc08g075750.2.1	0	0	0	6974900	14762000	2626400
Solyc08g078040.2.1	0	0	0	1844300	3877100	2984700
Solyc08g079520.2.1	0	0	0	6937500	8321300	8231500
Solyc08g079880.1.1	0	0	0	6869000	9244000	6733800
Solyc08g080050.2.1	0	0	0	2328300	10799000	2129500
Solyc08g080630.2.1	0	0	0	1228500	2506900	1427100
Solyc08g082400.1.1	0	0	0	2362000	9325700	2789900
Solyc09g007140.2.1	0	0	0	2086400	2035600	2761400
Solyc09g007230.2.1	0	0	0	2573200	3609300	3032700
Solyc09g010520.2.1	0	0	0	2243800	3393600	1411000
Solyc09g014990.2.1	0	0	0	3978200	1161400	1361100
Solyc09g064850.2.1	0	0	0	911450	1753900	2487600
Solyc10g047650.1.1	0	0	0	2166400	2768600	1473600
Solyc10g079470.2.1	0	0	0	2244200	13159000	2793300
Solyc10g080660.1.1	0	0	0	853730	800720	428810
Solyc10g081120.1.1	0	0	0	2403800	4166100	2980900
Solyc10g081240.1.1	0	0	0	6114100	4685100	3356100
Solyc10g083930.1.1	0	0	0	2208700	2336900	1386900
Solyc10g085590.1.1	0	0	0	4057300	7943800	2580900
Solyc10g086190.1.1	0	0	0	2635400	10540000	2140200
Solyc11g006020.1.1	0	0	0	707800	5052700	360230
Solyc11g008870.1.1	0	0	0	2227300	5649100	2784400
Solyc11g011220.1.1	0	0	0	10285000	7755100	7885600
Solyc11g069150.1.1	0	0	0	1365800	4086100	2711900
Solyc11g071910.1.1	0	0	0	46104000	66802000	22998000
Solyc12g008840.1.1	0	0	0	6569600	8745800	3124900
Solyc12g009600.1.1	0	0	0	4544600	14477000	5935500
Solyc12g010380.1.1	0	0	0	7889800	19914000	3224100
Solyc12g045030.1.1	0	0	0	2753200	16488000	2649000
Solyc12g095960.1.1	0	0	0	6298500	5296200	12602000
Solyc12g096700.1.1	0	0	0	1693300	1940500	1495500
Solyc12g098150.1.1	0	0	0	568630	3062300	683760
Solyc12g098740.1.1	0	0	0	3399800	4334000	2008700
Solyc12g099730.1.1	0	0	0	8533100	10509000	3592400
Solyc12g100270.1.1	0	0	0	3362900	4732000	5464900
