Rep24_1	Rep24_2	Rep24_3
Solyc01g081490.2.1	0.200962331591971	0	0
Solyc02g065370.2.1	0.428127101546738	0	0.392135481573794
Solyc02g091530.2.1	0	0.457816525855354	0
Solyc03g117010.2.1	0.328454471027017	0	0
Solyc03g117670.2.1	0.271172479569939	0	0.126023487294849
Solyc04g008290.2.1	0.274350144044505	0	0
Solyc04g008790.1.1	0.497126095351255	0	0
Solyc04g009180.1.1	0.307935414424112	0	0.484341712824883
Solyc04g071650.2.1	0.415304606240713	0	0
Solyc04g079830.2.1	0.191419635572478	0	0.298615442185356
Solyc05g053220.2.1	0.375808259719295	0	0.412716949721087
Solyc06g062600.2.1	0.280891379770483	0.220193481731943	0
Solyc06g074120.2.1	0.237894776091577	0	0.185339255968906
Solyc08g006950.2.1	0.384838545083461	0	0
Solyc08g041820.2.1	0.445763933154117	0	0.465242654496695
Solyc09g097780.2.1	0.432276221025238	0	0
Solyc10g005330.2.1	0.350973223989724	0	0
Solyc11g068870.1.1	0	0.32304584812345	0
Solyc12g038490.1.1	0.387394161299814	0	0
