24I1	24I2	24I3	24NI1	24NI2	24NI3
Solyc01g006030.2.1	0	0	0	36601000	37297000	25651000
Solyc01g087900.2.1	0	0	0	1696100	2001300	1891800
Solyc01g091370.2.1	0	0	0	6813800	6424400	5123700
Solyc01g095900.2.1	0	0	0	1356300	1748500	1250300
Solyc01g096370.2.1	0	0	0	2137000	1656700	958730
Solyc01g104350.2.1	0	0	0	1663200	1580200	1423300
Solyc02g014460.2.1	0	0	0	1327900	1142400	1279900
Solyc02g050280.2.1	0	0	0	5494300	4357400	4947300
Solyc02g084600.2.1	0	0	0	7027000	3185000	2249100
Solyc02g084990.2.1	0	0	0	1311000	3105200	741610
Solyc02g090710.2.1	0	0	0	1477900	1334600	1592300
Solyc02g094590.2.1	0	0	0	3664700	2147900	2451600
Solyc03g115250.2.1	0	0	0	765720	542350	899270
Solyc03g119780.2.1	0	0	0	954100	682110	778180
Solyc04g079590.2.1	0	0	0	2305400	1623900	1587600
Solyc06g060520.1.1	0	0	0	3857800	5640700	8978900
Solyc06g062370.2.1	0	0	0	823330	975500	1015600
Solyc06g068400.2.1	0	0	0	1165300	7744200	4788100
Solyc06g073870.2.1	0	0	0	408930	659390	693640
Solyc07g005890.2.1	0	0	0	1474100	1280500	1529200
Solyc07g006220.1.1	0	0	0	4717700	3465500	2597000
Solyc07g043600.2.1	0	0	0	1545700	3807400	2000900
Solyc07g049500.2.1	0	0	0	1262100	2209200	932040
Solyc07g064700.2.1	0	0	0	2848600	3257300	2516200
Solyc08g061100.2.1	0	0	0	953180	772480	806220
Solyc08g081340.2.1	0	0	0	1509900	1866600	1647300
Solyc08g081400.2.1	0	0	0	1981500	956570	1209700
Solyc09g064840.2.1	0	0	0	5296700	3338900	4903100
Solyc09g076050.2.1	0	0	0	1163800	1417500	1631400
Solyc09g091190.2.1	0	0	0	601910	504500	680860
Solyc11g039880.1.1	0	0	0	1405400	1136300	1658100
Solyc11g045180.1.1	0	0	0	2449900	1988700	1460700
Solyc12g006320.1.1	0	0	0	1822000	2213300	2070800
Solyc12g006620.1.1	0	0	0	2216200	3023800	1875700
Solyc12g099890.1.1	0	0	0	553610	165290	1409300
NA	NA	NA	NA	NA	NA	NA
