24I1	24I2	24I3	24NI1	24NI2	24NI3
Solyc00g006810.2.1	728010	1303100	1598300	0	0	0
Solyc00g042140.1.1	8376000	8202100	2985900	0	0	0
Solyc00g174340.1.1	7665700	13216000	25793000	0	0	0
Solyc01g005560.2.1	4083300	10788000	3110000	0	0	0
Solyc01g006950.2.1	6299200	6258500	2981700	0	0	0
Solyc01g006980.2.1	1302400	6246500	971300	0	0	0
Solyc01g007520.2.1	129960000	125870000	38304000	0	0	0
Solyc01g007740.2.1	3283300	6707400	3392600	0	0	0
Solyc01g009080.2.1	3190000	13808000	2717500	0	0	0
Solyc01g009990.2.1	21778000	61567000	12864000	0	0	0
Solyc01g066520.2.1	912140	19829000	357120	0	0	0
Solyc01g066840.2.1	1525000	4156900	141380	0	0	0
Solyc01g067290.2.1	124360000	798080000	68415000	0	0	0
Solyc01g067750.2.1	341020	1419500	317070	0	0	0
Solyc01g079090.2.1	3854100	44115000	2767600	0	0	0
Solyc06g009660.2.1	1068700	3549900	2107400	0	0	0
Solyc01g079940.2.1	10523000	13104000	4430800	0	0	0
Solyc01g080010.2.1	5680300	7916500	2759800	0	0	0
Solyc01g087750.2.1	1218300	8705300	946450	0	0	0
Solyc01g091580.2.1	2030300	4829700	1321400	0	0	0
Solyc01g094200.2.1	2179000	13140000	2358000	0	0	0
Solyc01g095070.2.1	4949200	4285400	6992400	0	0	0
Solyc01g095430.2.1	5313800	24278000	5495600	0	0	0
Solyc01g097340.2.1	4043400	20512000	3540800	0	0	0
Solyc01g099370.2.1	5685300	3733700	2563700	0	0	0
Solyc01g099890.2.1	1380700	1908200	983700	0	0	0
Solyc01g105050.2.1	11413000	16240000	9760000	0	0	0
Solyc01g105070.2.1	31348000	46481000	9870200	0	0	0
Solyc01g105560.2.1	1998600	5263300	700540	0	0	0
Solyc01g106010.2.1	393000	1645200	434220	0	0	0
Solyc01g107330.2.1	2647100	2332200	842380	0	0	0
Solyc01g107820.2.1	2780500	5890800	1334900	0	0	0
Solyc01g108630.2.1	13985000	36052000	5563100	0	0	0
Solyc01g108660.2.1	2363500	6540100	1824700	0	0	0
Solyc01g109140.2.1	5082900	14513000	2874700	0	0	0
Solyc01g109770.2.1	898830	3216200	582680	0	0	0
Solyc01g111200.2.1	1232400	1145800	867620	0	0	0
Solyc02g005210.2.1	698050	1724000	658950	0	0	0
Solyc02g021290.1.1	198530000	131710000	91102000	0	0	0
Solyc02g063490.2.1	1134900	3104600	2618900	0	0	0
Solyc02g065090.2.1	2680200	11652000	1430700	0	0	0
Solyc02g067180.2.1	2178500	7681800	1773000	0	0	0
Solyc02g071890.2.1	1171200	2216500	1051100	0	0	0
Solyc02g077080.2.1	3084700	1713800	2677400	0	0	0
Solyc02g077290.1.1	4353700	1740000	1305600	0	0	0
Solyc02g079170.2.1	1220100	5155400	1161500	0	0	0
Solyc02g079230.2.1	1683900	1724900	1061800	0	0	0
Solyc02g079750.2.1	2557400	2658400	1125000	0	0	0
Solyc02g080570.2.1	999580	4879700	860910	0	0	0
Solyc02g081430.2.1	550420	1841600	647100	0	0	0
Solyc02g082450.2.1	1121700	5906200	723650	0	0	0
Solyc02g083410.2.1	489230	1772800	345420	0	0	0
Solyc02g086880.2.1	21460000	24602000	6800500	0	0	0
Solyc02g087070.2.1	4246600	15098000	2647100	0	0	0
Solyc02g087250.2.1	1383600	3873500	976360	0	0	0
Solyc02g090890.2.1	1828900	7249500	1386500	0	0	0
Solyc02g091100.2.1	2208600	3810300	2975900	0	0	0
Solyc03g005730.2.1	1674100	7154000	1441500	0	0	0
Solyc03g006870.2.1	6626200	15155000	4993400	0	0	0
Solyc03g020010.1.1	5201400	9359600	1129800	0	0	0
Solyc03g045090.2.1	5184600	6323700	6158800	0	0	0
Solyc03g053110.2.1	4391000	17988000	1721800	0	0	0
Solyc03g062720.2.1	7619400	26373000	4696000	0	0	0
Solyc03g062790.2.1	1434700	9637700	1239500	0	0	0
Solyc03g082500.2.1	1134400	1145600	1117700	0	0	0
Solyc03g082560.2.1	1561700	1854400	1143000	0	0	0
Solyc03g093690.2.1	12469000	35741000	3185200	0	0	0
Solyc03g095360.2.1	1712000	2805400	2248000	0	0	0
Solyc03g097800.2.1	2972100	10873000	6205600	0	0	0
Solyc03g097840.2.1	7837900	22528000	6724200	0	0	0
Solyc03g098740.1.1	2357100	3899300	3029100	0	0	0
Solyc03g111610.2.1	7274400	16196000	5901200	0	0	0
Solyc03g114340.2.1	563040	3010000	560460	0	0	0
Solyc03g114930.2.1	3819300	26059000	4636600	0	0	0
Solyc03g118390.2.1	6203800	8261600	5316600	0	0	0
Solyc03g119250.2.1	3062500	1400100	3123200	0	0	0
Solyc03g120430.2.1	8747200	19607000	4993400	0	0	0
Solyc03g120670.2.1	629390	2684200	420900	0	0	0
Solyc03g121590.2.1	1757900	2024600	2027200	0	0	0
Solyc03g121720.2.1	8115300	18596000	5728000	0	0	0
Solyc03g121910.1.1	4905700	15471000	2099600	0	0	0
Solyc04g005160.1.1	2484500	9334700	2922800	0	0	0
Solyc04g040130.1.1	2563800	2777700	3099900	0	0	0
Solyc04g049350.2.1	1785900	8092700	1886400	0	0	0
Solyc04g051580.2.1	410870	2491000	398530	0	0	0
Solyc04g054890.2.1	3886600	7370200	2637600	0	0	0
Solyc04g057980.2.1	2464500	6993400	727900	0	0	0
Solyc04g064880.2.1	4737100	9630500	361720	0	0	0
Solyc04g071880.2.1	3453900	2544700	2451700	0	0	0
Solyc04g073950.1.1	1811900	1518800	1507300	0	0	0
Solyc04g074230.2.1	1692400	4616300	3293400	0	0	0
Solyc04g074550.2.1	835670	3720200	851080	0	0	0
Solyc04g076060.2.1	1183500	996810	2539700	0	0	0
Solyc04g076090.2.1	1670800	4708000	1145000	0	0	0
Solyc04g076880.2.1	12051000	62591000	7035800	0	0	0
Solyc04g079240.2.1	3319900	2688500	2180400	0	0	0
Solyc04g080850.2.1	1026200	3978700	864460	0	0	0
Solyc04g081330.2.1	1539000	5320200	2081700	0	0	0
Solyc04g081820.2.1	11228000	17190000	12018000	0	0	0
Solyc04g081970.2.1	1029300	10027000	1113000	0	0	0
Solyc04g082010.1.1	19940000	34506000	7746000	0	0	0
Solyc04g082500.2.1	3494000	4106700	2046600	0	0	0
Solyc05g008450.2.1	4217400	10668000	1093600	0	0	0
Solyc05g009030.2.1	1725600	5383200	1463800	0	0	0
Solyc05g013700.2.1	3489200	889620	1467200	0	0	0
Solyc05g013820.2.1	985640	812120	781740	0	0	0
Solyc05g026490.2.1	289990	1482900	238020	0	0	0
Solyc05g052150.2.1	569030	6275600	2241800	0	0	0
Solyc05g052710.2.1	1409200	2975200	1667800	0	0	0
Solyc05g052760.2.1	4237700	5125200	5767000	0	0	0
Solyc05g053830.2.1	7584700	21831000	4313800	0	0	0
Solyc05g055770.2.1	2053700	3047800	618660	0	0	0
Solyc05g056230.2.1	3711400	8477900	3409300	0	0	0
Solyc05g056260.2.1	582520	1822900	493710	0	0	0
Solyc06g009940.1.1	161620000	407920000	55541000	0	0	0
Solyc06g010060.1.1	681240	3025200	1080500	0	0	0
Solyc06g053140.2.1	1145700	13488000	720200	0	0	0
Solyc06g065490.2.1	4569800	17579000	4255600	0	0	0
Solyc06g065950.2.1	278540	590360	343310	0	0	0
Solyc06g066620.2.1	728860	13983000	446920	0	0	0
Solyc06g068480.2.1	3397700	15457000	3293100	0	0	0
Solyc06g068670.2.1	1341900	2844000	1278400	0	0	0
Solyc06g071110.2.1	1524300	796250	1125300	0	0	0
Solyc06g074890.1.1	1852800	6593300	1612600	0	0	0
Solyc06g076160.2.1	5568300	10326000	8987500	0	0	0
Solyc06g081980.1.1	4976300	18533000	1551200	0	0	0
Solyc06g082970.2.1	4162400	22869000	3689400	0	0	0
Solyc06g083390.2.1	2839000	2781700	1594000	0	0	0
Solyc06g083680.2.1	17573000	72654000	10634000	0	0	0
Solyc06g083690.2.1	639680	2623600	654300	0	0	0
Solyc07g006890.1.1	20083000	13783000	3093000	0	0	0
Solyc07g008550.2.1	3869900	2068300	1906700	0	0	0
Solyc07g043310.2.1	6205000	17876000	2938000	0	0	0
Solyc07g049530.2.1	4339600	6504100	1176200	0	0	0
Solyc07g052140.2.1	1475000	1394300	889080	0	0	0
Solyc07g052350.2.1	13061000	29670000	7266200	0	0	0
Solyc07g052370.2.1	12859000	16893000	23486000	0	0	0
Solyc07g053280.2.1	2677500	7512700	860700	0	0	0
Solyc07g053620.2.1	1353100	1147400	1224000	0	0	0
Solyc07g054290.1.1	9945300	37309000	2822700	0	0	0
Solyc07g055690.1.1	5257200	7264600	4779500	0	0	0
Solyc07g056000.2.1	8289200	2484400	11733000	0	0	0
Solyc07g063190.2.1	2970400	13970000	3159400	0	0	0
Solyc07g064950.2.1	3428200	15442000	1823300	0	0	0
Solyc07g066430.2.1	2165200	9717000	1474400	0	0	0
Solyc08g005590.2.1	690460	3052400	299090	0	0	0
Solyc08g006720.2.1	1233500	6108300	1418800	0	0	0
Solyc08g007040.2.1	5748600	25149000	4086100	0	0	0
Solyc08g014130.2.1	678570	1306300	742800	0	0	0
Solyc08g016750.2.1	4367800	6201600	2929900	0	0	0
Solyc08g045710.1.1	9062600	7695300	3805300	0	0	0
Solyc08g048250.2.1	19159000	37819000	12722000	0	0	0
Solyc08g061320.2.1	2740000	2623000	1402600	0	0	0
Solyc08g065490.2.1	1026500	2553100	902760	0	0	0
Solyc08g066180.2.1	3927000	3142700	1700100	0	0	0
Solyc08g068730.1.1	9012600	24543000	8531800	0	0	0
Solyc08g074680.2.1	37991000	93254000	42927000	0	0	0
Solyc08g075750.2.1	6974900	14762000	2626400	0	0	0
Solyc08g076450.2.1	391910	6762300	589160	0	0	0
Solyc08g078040.2.1	1844300	3877100	2984700	0	0	0
Solyc08g079240.2.1	643390	5770000	534120	0	0	0
Solyc08g079520.2.1	6937500	8321300	8231500	0	0	0
Solyc08g079880.1.1	6869000	9244000	6733800	0	0	0
Solyc08g080050.2.1	2328300	10799000	2129500	0	0	0
Solyc08g080630.2.1	1228500	2506900	1427100	0	0	0
Solyc08g080640.1.1	46058000	52507000	60587000	0	0	0
Solyc08g080660.1.1	30326000	44773000	35950000	0	0	0
Solyc08g081250.2.1	6304900	14291000	3286300	0	0	0
Solyc08g082400.1.1	2362000	9325700	2789900	0	0	0
Solyc08g082430.2.1	2180700	7626500	851220	0	0	0
Solyc09g007140.2.1	2086400	2035600	2761400	0	0	0
Solyc09g007230.2.1	2573200	3609300	3032700	0	0	0
Solyc09g007910.2.1	5278600	11122000	2410900	0	0	0
Solyc09g010520.2.1	2243800	3393600	1411000	0	0	0
Solyc09g011920.2.1	1753200	4586300	2575300	0	0	0
Solyc09g014990.2.1	3978200	1161400	1361100	0	0	0
Solyc09g059040.2.1	8284400	9349000	5431600	0	0	0
Solyc09g064850.2.1	911450	1753900	2487600	0	0	0
Solyc09g065270.2.1	5771800	12754000	5522600	0	0	0
Solyc09g075820.2.1	5046800	7047000	4154700	0	0	0
Solyc09g090330.2.1	8601000	36298000	6329000	0	0	0
Solyc09g090980.2.1	3835200	4777900	2259500	0	0	0
Solyc09g091180.2.1	4674000	16962000	3302200	0	0	0
Solyc09g091660.2.1	5244900	10345000	4686200	0	0	0
Solyc10g006900.2.1	2857800	56427000	3399600	0	0	0
Solyc10g006970.2.1	2540000	9492300	2858700	0	0	0
Solyc10g044520.1.1	17639000	27746000	7083100	0	0	0
Solyc10g047650.1.1	2166400	2768600	1473600	0	0	0
Solyc10g049710.1.1	1283200	9337700	908440	0	0	0
Solyc10g075020.1.1	2459900	5720300	1021900	0	0	0
Solyc10g078550.1.1	11915000	46025000	7874000	0	0	0
Solyc10g079470.2.1	2244200	13159000	2793300	0	0	0
Solyc10g080080.1.1	433270	6926900	690600	0	0	0
Solyc10g080320.1.1	901080	3485700	975680	0	0	0
Solyc10g080660.1.1	853730	800720	428810	0	0	0
