Rep8_1	Rep8_2	Rep8_3
Solyc02g062340.2.1	Inf	36.2202294860669	2.58615491034214
Solyc02g063150.2.1	13.9221473095026	16.4703280250442	Inf
Solyc03g059180.2.1	Inf	2.19952902816774	Inf
Solyc04g007550.2.1	Inf	4.66562353694897	2.15610281254205
Solyc04g054690.2.1	3.47747696988478	Inf	Inf
Solyc05g053600.2.1	2.69636259223543	2.30461538461538	Inf
Solyc07g005090.2.1	Inf	2.02345304797771	2.68036719254544
Solyc07g063600.2.1	Inf	5.87631065593758	Inf
Solyc08g079180.2.1	Inf	3.50259901689361	Inf
Solyc10g055200.1.1	Inf	4.32107980980623	2.66956140533996
