Rep24_1	Rep24_2	Rep24_3
Solyc01g008330.2.1	2.88398109054166	4.82253086419753	Inf
Solyc01g010760.2.1	Inf	3.90986024844721	Inf
Solyc01g079790.2.1	18.6931888930395	Inf	3.06785714285714
Solyc01g089970.2.1	2.22135898758763	13.5715705106975	Inf
Solyc01g100520.2.1	Inf	35.0420473919123	Inf
Solyc01g103750.2.1	19.953330169277	Inf	Inf
Solyc01g106260.2.1	2.1299270726142	6.10898635072404	Inf
Solyc01g106620.2.1	9.51048445408532	Inf	Inf
Solyc01g109850.2.1	4.7292960446797	Inf	Inf
Solyc02g063150.2.1	24.9959833826803	110.272483513298	Inf
Solyc02g079220.2.1	Inf	Inf	2.17091309015685
Solyc10g054590.1.1	2.33500482160077	3.08526137107877	Inf
Solyc02g086910.2.1	Inf	Inf	7.07228915662651
Solyc02g092440.2.1	Inf	9.07717618905175	Inf
Solyc03g034170.2.1	4.08183759328555	Inf	Inf
Solyc03g059180.2.1	24.3574232403076	293.636279671192	Inf
Solyc03g097290.2.1	Inf	4.91548387096774	Inf
Solyc03g112070.2.1	2.09035973268875	22.2312547819434	Inf
Solyc03g114150.2.1	5.64202076736137	9.4212226640159	Inf
Solyc03g115110.2.1	Inf	16.703945324635	4.06315140935462
Solyc03g117430.2.1	2.29014371393007	5.49796976241901	Inf
Solyc03g118130.2.1	5.24388379204893	34.7810965630115	Inf
Solyc12g044280.1.1	Inf	Inf	15.8883495721728
Solyc04g007550.2.1	Inf	43.1813408384441	5.66831212085167
Solyc04g009200.2.1	26.7334941211938	111.25814926535	Inf
Solyc04g045340.2.1	3.62331397945511	5.90446570972887	Inf
Solyc04g049090.2.1	3.27339949406499	Inf	2.07145859604876
Solyc05g041910.2.1	Inf	12.4762976056564	Inf
Solyc06g069730.2.1	3.10962133490497	5.79724776155279	Inf
Solyc06g074430.2.1	Inf	2.27110949700381	Inf
Solyc06g082950.2.1	Inf	86.2675460848977	4.78390098913414
Solyc06g083300.2.1	3.67874284962851	12.1137927014108	Inf
Solyc07g005330.2.1	Inf	15.5043259838124	Inf
Solyc07g006280.2.1	Inf	Inf	2.17381484743772
Solyc07g006520.2.1	Inf	5.1636295556665	Inf
Solyc07g006790.2.1	6.48216833095578	17.6966970262263	Inf
Solyc07g054820.2.1	69.873417721519	Inf	Inf
Solyc07g056140.2.1	12.5694012844417	26.9367196367764	Inf
Solyc07g066470.2.1	4.7488772652824	Inf	Inf
Solyc08g076480.2.1	Inf	6.27513429730131	Inf
Solyc08g079180.2.1	24.4194104021066	Inf	Inf
Solyc09g009390.2.1	6.3397916285871	10.6757830468783	Inf
Solyc09g098280.2.1	Inf	8.81471648018206	3.36800842074698
Solyc10g007390.2.1	Inf	12.3731442800963	5.69245606515216
Solyc10g008740.2.1	10.1399410440901	Inf	Inf
Solyc10g017890.1.1	Inf	Inf	14.0164181807207
Solyc10g054780.1.1	8.5582070450892	Inf	Inf
Solyc10g074980.1.1	2.72971456061578	Inf	Inf
Solyc10g080710.1.1	5.2414916416631	10.4363987807598	Inf
Solyc10g081980.1.1	7.23308016877637	Inf	Inf
Solyc11g007990.1.1	5.97303987155472	Inf	Inf
Solyc11g011960.1.1	5.895401957876	25.1627392266632	Inf
Solyc11g013260.1.1	3.30738887819896	5.55960721258757	Inf
Solyc11g039840.1.1	2.63209568011424	Inf	5.68171927827804
Solyc11g051170.1.1	3.53627611588609	Inf	2.45805451281214
Solyc11g068510.1.1	3.29570974576271	Inf	Inf
Solyc12g011000.1.1	4.38824114886961	Inf	Inf
Solyc12g096550.1.1	Inf	16.7300117476332	Inf
