proteinGroups.nonucl.LFQ.intensity.24hrsNI.Rep1	proteinGroups.nonucl.LFQ.intensity.24hrsNI.Rep2	proteinGroups.nonucl.LFQ.intensity.24hrsNI.Rep3	proteinGroups.nonucl.LFQ.intensity.24hrsI.Rep1	proteinGroups.nonucl.LFQ.intensity.24hrsI.Rep2	proteinGroups.nonucl.LFQ.intensity.24hrsI.Rep3
Solyc00g042140.1.1	0	0	0	8376000	8202100	2985900
Solyc00g174340.1.1	0	0	0	7665700	13216000	25793000
Solyc01g005560.2.1	0	0	0	4083300	10788000	3110000
Solyc01g006980.2.1	0	0	0	1302400	6246500	971300
Solyc01g007520.2.1	0	0	0	129960000	125870000	38304000
Solyc01g007740.2.1	0	0	0	3283300	6707400	3392600
Solyc01g009080.2.1	0	0	0	3190000	13808000	2717500
Solyc01g009990.2.1	0	0	0	21778000	61567000	12864000
Solyc01g066520.2.1	0	0	0	912140	19829000	357120
Solyc01g067290.2.1	0	0	0	124360000	798080000	68415000
Solyc01g079090.2.1	0	0	0	3854100	44115000	2767600
Solyc01g079940.2.1	0	0	0	10523000	13104000	4430800
Solyc01g080010.2.1	0	0	0	5680300	7916500	2759800
Solyc01g087750.2.1	0	0	0	1218300	8705300	946450
Solyc01g091580.2.1	0	0	0	2030300	4829700	1321400
Solyc01g094200.2.1	0	0	0	2179000	13140000	2358000
Solyc01g095430.2.1	0	0	0	5313800	24278000	5495600
Solyc01g097340.2.1	0	0	0	4043400	20512000	3540800
Solyc01g099890.2.1	0	0	0	1380700	1908200	983700
Solyc01g105050.2.1	0	0	0	11413000	16240000	9760000
Solyc01g105070.2.1	0	0	0	31348000	46481000	9870200
Solyc01g105560.2.1	0	0	0	1998600	5263300	700540
Solyc01g107820.2.1	0	0	0	2780500	5890800	1334900
Solyc01g108630.2.1	0	0	0	13985000	36052000	5563100
Solyc01g109770.2.1	0	0	0	898830	3216200	582680
Solyc02g005210.2.1	0	0	0	698050	1724000	658950
Solyc02g063490.2.1	0	0	0	1134900	3104600	2618900
Solyc02g065090.2.1	0	0	0	2680200	11652000	1430700
Solyc02g067180.2.1	0	0	0	2178500	7681800	1773000
Solyc02g071890.2.1	0	0	0	1171200	2216500	1051100
