proteinGroups.nucl.LFQ.intensity.8hrsI.Rep1	proteinGroups.nucl.LFQ.intensity.8hrsI.Rep2	proteinGroups.nucl.LFQ.intensity.8hrsI.Rep3	proteinGroups.nucl.LFQ.intensity.24hrsI.Rep1	proteinGroups.nucl.LFQ.intensity.24hrsI.Rep2	proteinGroups.nucl.LFQ.intensity.24hrsI.Rep3
Solyc01g006950.2.1	0	0	0	6299200	6258500	2981700
Solyc01g007290.1.1	0	0	0	2191700	5852900	3046200
Solyc01g007340.2.1	0	0	0	964770	2671900	1059300
Solyc01g067750.2.1	0	0	0	341020	1419500	317070
Solyc06g009660.2.1	0	0	0	1068700	3549900	2107400
Solyc01g095070.2.1	0	0	0	4949200	4285400	6992400
Solyc01g096240.2.1	0	0	0	11084000	58151000	8252100
Solyc01g099370.2.1	0	0	0	5685300	3733700	2563700
Solyc01g106010.2.1	0	0	0	393000	1645200	434220
Solyc01g107150.2.1	0	0	0	731300	543780	843610
Solyc01g107330.2.1	0	0	0	2647100	2332200	842380
Solyc01g109140.2.1	0	0	0	5082900	14513000	2874700
Solyc01g111200.2.1	0	0	0	1232400	1145800	867620
Solyc02g049070.2.1	0	0	0	1106800	3827200	1498300
Solyc02g065300.1.1	0	0	0	573630	3658700	645210
Solyc02g079750.2.1	0	0	0	2557400	2658400	1125000
Solyc02g080570.2.1	0	0	0	999580	4879700	860910
Solyc02g083800.2.1	0	0	0	2848800	2697100	2830600
Solyc03g053110.2.1	0	0	0	4391000	17988000	1721800
Solyc03g062720.2.1	0	0	0	7619400	26373000	4696000
Solyc03g082500.2.1	0	0	0	1134400	1145600	1117700
Solyc03g082560.2.1	0	0	0	1561700	1854400	1143000
Solyc03g097840.2.1	0	0	0	7837900	22528000	6724200
Solyc03g116750.2.1	0	0	0	2997200	3094400	2726200
Solyc03g118390.2.1	0	0	0	6203800	8261600	5316600
Solyc03g121590.2.1	0	0	0	1757900	2024600	2027200
Solyc04g051580.2.1	0	0	0	410870	2491000	398530
Solyc04g054890.2.1	0	0	0	3886600	7370200	2637600
Solyc04g057980.2.1	0	0	0	2464500	6993400	727900
Solyc04g064880.2.1	0	0	0	4737100	9630500	361720
Solyc04g073950.1.1	0	0	0	1811900	1518800	1507300
Solyc04g074230.2.1	0	0	0	1692400	4616300	3293400
Solyc04g076060.2.1	0	0	0	1183500	996810	2539700
Solyc04g076880.2.1	0	0	0	12051000	62591000	7035800
Solyc04g081330.2.1	0	0	0	1539000	5320200	2081700
Solyc04g081820.2.1	0	0	0	11228000	17190000	12018000
Solyc04g082500.2.1	0	0	0	3494000	4106700	2046600
Solyc05g009030.2.1	0	0	0	1725600	5383200	1463800
Solyc05g013700.2.1	0	0	0	3489200	889620	1467200
Solyc05g013820.2.1	0	0	0	985640	812120	781740
Solyc05g052710.2.1	0	0	0	1409200	2975200	1667800
Solyc05g056260.2.1	0	0	0	582520	1822900	493710
Solyc06g065950.2.1	0	0	0	278540	590360	343310
Solyc06g071110.2.1	0	0	0	1524300	796250	1125300
Solyc06g076160.2.1	0	0	0	5568300	10326000	8987500
Solyc06g082970.2.1	0	0	0	4162400	22869000	3689400
Solyc07g008320.2.1	0	0	0	720360	750510	826080
Solyc07g008550.2.1	0	0	0	3869900	2068300	1906700
Solyc07g052370.2.1	0	0	0	12859000	16893000	23486000
Solyc07g053620.2.1	0	0	0	1353100	1147400	1224000
Solyc07g056150.2.1	0	0	0	1245600	4403800	1170300
Solyc08g006720.2.1	0	0	0	1233500	6108300	1418800
Solyc08g016750.2.1	0	0	0	4367800	6201600	2929900
Solyc08g021910.1.1	0	0	0	1000700	1239100	788320
Solyc08g061320.2.1	0	0	0	2740000	2623000	1402600
Solyc08g065490.2.1	0	0	0	1026500	2553100	902760
Solyc08g068730.1.1	0	0	0	9012600	24543000	8531800
Solyc08g075750.2.1	0	0	0	6974900	14762000	2626400
Solyc08g078040.2.1	0	0	0	1844300	3877100	2984700
Solyc08g080050.2.1	0	0	0	2328300	10799000	2129500
Solyc08g080630.2.1	0	0	0	1228500	2506900	1427100
Solyc08g082400.1.1	0	0	0	2362000	9325700	2789900
Solyc09g010520.2.1	0	0	0	2243800	3393600	1411000
Solyc09g064850.2.1	0	0	0	911450	1753900	2487600
Solyc09g091470.2.1	0	0	0	4609000	11158000	4449600
Solyc10g006050.2.1	0	0	0	1335500	867860	1200100
Solyc10g047650.1.1	0	0	0	2166400	2768600	1473600
Solyc10g080660.1.1	0	0	0	853730	800720	428810
Solyc10g085590.1.1	0	0	0	4057300	7943800	2580900
Solyc11g006020.1.1	0	0	0	707800	5052700	360230
Solyc11g008870.1.1	0	0	0	2227300	5649100	2784400
Solyc12g008840.1.1	0	0	0	6569600	8745800	3124900
Solyc12g009600.1.1	0	0	0	4544600	14477000	5935500
Solyc12g095960.1.1	0	0	0	6298500	5296200	12602000
Solyc12g096700.1.1	0	0	0	1693300	1940500	1495500
Solyc12g098150.1.1	0	0	0	568630	3062300	683760
Solyc12g098740.1.1	0	0	0	3399800	4334000	2008700
Solyc12g099730.1.1	0	0	0	8533100	10509000	3592400
Solyc12g100270.1.1	0	0	0	3362900	4732000	5464900
