proteinGroups.nonucl.LFQ.intensity.8hrsI.Rep1	proteinGroups.nonucl.LFQ.intensity.8hrsI.Rep2	proteinGroups.nonucl.LFQ.intensity.8hrsI.Rep3	proteinGroups.nonucl.LFQ.intensity.24hrsI.Rep1	proteinGroups.nonucl.LFQ.intensity.24hrsI.Rep2	proteinGroups.nonucl.LFQ.intensity.24hrsI.Rep3
Solyc01g005560.2.1	0	0	0	4083300	10788000	3110000
Solyc01g006980.2.1	0	0	0	1302400	6246500	971300
Solyc01g009080.2.1	0	0	0	3190000	13808000	2717500
Solyc01g010760.2.1	0	0	0	2855800	5035900	1712100
Solyc01g080010.2.1	0	0	0	5680300	7916500	2759800
Solyc01g091580.2.1	0	0	0	2030300	4829700	1321400
Solyc01g094200.2.1	0	0	0	2179000	13140000	2358000
Solyc01g095430.2.1	0	0	0	5313800	24278000	5495600
Solyc01g099890.2.1	0	0	0	1380700	1908200	983700
Solyc01g100520.2.1	0	0	0	2801200	18293000	1278000
Solyc01g105050.2.1	0	0	0	11413000	16240000	9760000
Solyc01g107820.2.1	0	0	0	2780500	5890800	1334900
Solyc01g111450.2.1	0	0	0	1648300	5870600	1317600
Solyc02g005210.2.1	0	0	0	698050	1724000	658950
Solyc02g063490.2.1	0	0	0	1134900	3104600	2618900
Solyc02g065090.2.1	0	0	0	2680200	11652000	1430700
Solyc02g067180.2.1	0	0	0	2178500	7681800	1773000
Solyc02g071890.2.1	0	0	0	1171200	2216500	1051100
Solyc02g077080.2.1	0	0	0	3084700	1713800	2677400
Solyc02g077290.1.1	0	0	0	4353700	1740000	1305600
Solyc02g079170.2.1	0	0	0	1220100	5155400	1161500
Solyc02g079220.2.1	0	0	0	3870100	5940200	1658100
Solyc02g082450.2.1	0	0	0	1121700	5906200	723650
Solyc02g083410.2.1	0	0	0	489230	1772800	345420
Solyc10g054590.1.1	0	0	0	36321000	23083000	19634000
Solyc02g087070.2.1	0	0	0	4246600	15098000	2647100
Solyc02g090890.2.1	0	0	0	1828900	7249500	1386500
Solyc02g091100.2.1	0	0	0	2208600	3810300	2975900
Solyc03g005280.2.1	0	0	0	7804800	15296000	7113500
Solyc03g005730.2.1	0	0	0	1674100	7154000	1441500
Solyc03g020010.1.1	0	0	0	5201400	9359600	1129800
Solyc03g034170.2.1	0	0	0	3861500	28501000	2526300
Solyc03g095360.2.1	0	0	0	1712000	2805400	2248000
Solyc03g095470.2.1	0	0	0	823520	1415100	666060
Solyc03g098740.1.1	0	0	0	2357100	3899300	3029100
Solyc03g111610.2.1	0	0	0	7274400	16196000	5901200
Solyc03g120670.2.1	0	0	0	629390	2684200	420900
Solyc03g121720.2.1	0	0	0	8115300	18596000	5728000
Solyc04g009940.2.1	0	0	0	825020	3034200	735630
Solyc04g040130.1.1	0	0	0	2563800	2777700	3099900
Solyc04g049090.2.1	0	0	0	3364400	3846000	1478400
Solyc04g049350.2.1	0	0	0	1785900	8092700	1886400
Solyc04g079240.2.1	0	0	0	3319900	2688500	2180400
Solyc04g080850.2.1	0	0	0	1026200	3978700	864460
Solyc05g026490.2.1	0	0	0	289990	1482900	238020
Solyc05g052150.2.1	0	0	0	569030	6275600	2241800
Solyc06g010060.1.1	0	0	0	681240	3025200	1080500
Solyc06g053140.2.1	0	0	0	1145700	13488000	720200
Solyc06g066620.2.1	0	0	0	728860	13983000	446920
Solyc06g068480.2.1	0	0	0	3397700	15457000	3293100
Solyc06g068670.2.1	0	0	0	1341900	2844000	1278400
Solyc06g071050.2.1	0	0	0	3304700	2970900	3836400
Solyc06g074890.1.1	0	0	0	1852800	6593300	1612600
Solyc06g083690.2.1	0	0	0	639680	2623600	654300
Solyc07g006520.2.1	0	0	0	2849400	8274200	2159600
Solyc07g043310.2.1	0	0	0	6205000	17876000	2938000
Solyc07g052140.2.1	0	0	0	1475000	1394300	889080
Solyc07g055690.1.1	0	0	0	5257200	7264600	4779500
Solyc08g005590.2.1	0	0	0	690460	3052400	299090
Solyc08g014130.2.1	0	0	0	678570	1306300	742800
Solyc08g045710.1.1	0	0	0	9062600	7695300	3805300
Solyc08g048250.2.1	0	0	0	19159000	37819000	12722000
Solyc08g074680.2.1	0	0	0	37991000	93254000	42927000
Solyc08g076450.2.1	0	0	0	391910	6762300	589160
Solyc08g080640.1.1	0	0	0	46058000	52507000	60587000
Solyc09g008280.1.1	0	0	0	4020300	9473400	3844700
Solyc09g010930.2.1	0	0	0	1983800	8672700	1924800
Solyc09g011920.2.1	0	0	0	1753200	4586300	2575300
Solyc09g014760.2.1	0	0	0	4474900	22475000	3681100
Solyc09g031920.1.1	0	0	0	616820	1997500	505160
Solyc09g059040.2.1	0	0	0	8284400	9349000	5431600
Solyc09g065270.2.1	0	0	0	5771800	12754000	5522600
Solyc09g075820.2.1	0	0	0	5046800	7047000	4154700
Solyc09g090330.2.1	0	0	0	8601000	36298000	6329000
Solyc09g090980.2.1	0	0	0	3835200	4777900	2259500
Solyc10g006970.2.1	0	0	0	2540000	9492300	2858700
Solyc10g017890.1.1	0	0	0	20855000	49218000	23221000
Solyc10g078550.1.1	0	0	0	11915000	46025000	7874000
Solyc10g080320.1.1	0	0	0	901080	3485700	975680
Solyc10g080710.1.1	0	0	0	6114200	14038000	1957700
Solyc10g083690.2.1	0	0	0	6162400	9398300	4515700
Solyc11g008980.1.1	0	0	0	489920	1836700	566220
Solyc11g010480.1.1	0	0	0	7060900	22007000	6756600
Solyc11g011020.1.1	0	0	0	1651900	1420500	1083400
Solyc12g009060.1.1	0	0	0	1422600	2145500	1309000
Solyc12g044950.1.1	0	0	0	9556800	9770000	4484000
