RepI_1	RepI_2	RepI_3
Solyc00g019950.1.1	0	0.136380509534229	0
Solyc01g005520.2.1	0.0598187482299632	0.0131784478497281	0.0549375681300168
Solyc01g006330.2.1	0	0.0646179983011043	0.380938865868195
Solyc01g006560.2.1	0.0667390248778955	0.0767846339987901	0.0385282466721388
Solyc01g007300.1.1	0	0.10769936986187	0
Solyc01g010440.2.1	0.0507535024611889	0.0751705490848586	0.2239364577702
Solyc01g060180.2.1	0.128016789087093	0.0317943111492884	0
Solyc01g073640.2.1	0.0790122414520895	0.0633178531538416	0.0897561433126993
Solyc01g080510.2.1	0.182511121439479	0.493484934621944	0.468116338665937
Solyc01g080840.2.1	0.124636658670806	0.00507641314261562	0.189581707975755
Solyc01g081070.2.1	0	0.131019403493152	0
Solyc01g087120.2.1	0.370870185449358	0.0196781675848072	0.294719418213394
Solyc01g090190.2.1	0.0251827663021466	0.0380100566179673	0.138402528678481
Solyc01g099100.2.1	0.0967972632961912	0.125411417546249	0.123414742822134
Solyc01g100650.2.1	0	0.0283654217229107	0
Solyc01g102350.2.1	0.308079103072085	0.171390766888402	0.121943936396551
Solyc01g102560.2.1	0.20732313953817	0.140563177637326	0.358922499448002
Solyc01g108660.2.1	0	0.267228329842051	0
Solyc01g109660.2.1	0.155681606265929	0.10684161657626	0.227616961351901
Solyc02g021290.1.1	0	0	0.446521481416434
Solyc02g021560.2.1	0.0761483007209063	0.0299305816135084	0.0334481697939096
Solyc02g065170.2.1	0.273164377834239	0.496144687606305	0.437111747851003
Solyc02g069100.2.1	0.39740157480315	0.439874237100055	0.293730788934426
Solyc02g069450.2.1	0.493102028209616	0.17637094704423	0.249338336292673
Solyc02g069460.2.1	0.304269718604327	0.264937021635629	0.293770507860326
Solyc02g078120.1.1	0.084421762945395	0.157385178038547	0.09228866707888
Solyc02g079440.1.1	0.0414611311038942	0	0
Solyc02g082270.2.1	0.0786080237408662	0.0579887906876482	0
Solyc02g084920.2.1	0	0.410986811537224	0
Solyc02g087190.1.1	0.327836354445006	0.35514614966121	0.341487298358484
Solyc02g087250.2.1	0	0.0935975216212727	0
Solyc02g090490.2.1	0.133398788150808	0.0770563640749377	0.113408583008219
Solyc02g092580.2.1	0.000629178381755701	0.000653022607310029	0.00306235235950118
Solyc03g005230.2.1	0.174188107413456	0.168773936953746	0.384031194033234
Solyc03g005900.2.1	0.178534064610215	0.175325550512358	0.195796909941045
Solyc03g062790.2.1	0	0.0637973790427177	0
Solyc03g063560.2.1	0.297805241849563	0.164096308867204	0.0253559029561002
Solyc03g111840.2.1	0.130612695196927	0.456357315916991	0
Solyc03g112150.1.1	0.443970680798359	0.172427320490368	0.284980068694061
Solyc03g113240.2.1	0	0.0758849202294589	0.413178501512725
Solyc03g115360.2.1	0.206594848036616	0.100521152667075	0.219430665096416
Solyc03g115900.2.1	0.163698049194232	0.0775556824671616	0.37231764443453
Solyc03g117890.2.1	0.131992672665419	0.0438145161290323	0
Solyc03g117950.2.1	0	0.0325525691029337	0.0443261012491782
Solyc03g117980.2.1	0.107718476716496	0.123611406230079	0.351129818342933
Solyc03g118020.2.1	0.350275197798418	0.346991734072583	0.400548580477322
Solyc03g118240.2.1	0	0.0492496041745646	0
Solyc03g118690.2.1	0.118664891363554	0.123350129040187	0.203904637706848
Solyc03g120300.2.1	0.0843814396361828	0.431285150675732	0
Solyc03g120850.2.1	0.220815058479532	0.153881536247425	0.379904591532499
Solyc03g121070.2.1	0	0.181073269801593	0
Solyc03g121330.2.1	0.170133127532317	0.346005988023952	0.224997324199936
Solyc06g062510.2.1	0	0.114132302405498	0
Solyc03g121500.2.1	0.0979025293028994	0.142337759192425	0.0575163719711853
Solyc03g121910.1.1	0.144731638705995	0.104789606360287	0
Solyc03g123800.1.1	0	0.150565070488174	0
Solyc03g123900.2.1	0.196617301129775	0.275814682510753	0.376599517126905
Solyc04g007790.2.1	0.389453587465469	0.176516670264935	0.44853099324644
Solyc04g008520.2.1	0.392823984526112	0.21256712102437	0.428455749261694
Solyc04g015490.2.1	0.0696204576043069	0.176197902662006	0
Solyc04g015830.2.1	0.307981479439974	0.161778777150512	0
Solyc04g074310.2.1	0.41178881783899	0	0
Solyc04g079200.2.1	0.256533526116031	0.243790000927558	0.187415694675871
Solyc04g081880.2.1	0.28052612496475	0.369873105092829	0.29555411175051
Solyc05g006170.2.1	0.261990905168122	0.386706001231141	0.409022708498407
Solyc05g009290.2.1	0.233718046724964	0.18368992248062	0
Solyc05g009530.2.1	0.0730757047830219	0.164790862626473	0.331345448992059
Solyc05g009980.2.1	0.0323589208198253	0.0785340761136368	0
Solyc05g020010.1.1	0.00921468103699388	0.0100732448564619	0.0129192305201114
Solyc05g026310.2.1	0.176376988984088	0.308589110458211	0.394324094722311
Solyc05g052200.2.1	0	0.309604651162791	0
Solyc05g053830.2.1	0	0	0.402893040938384
Solyc11g006660.1.1	0	0	0.360771783212486
Solyc05g056050.2.1	0.0469661709615166	0.0260927759669843	0.399131643917251
Solyc05g056070.2.1	0	0.0757352489715724	0.189192045980049
Solyc05g056230.2.1	0	0.16090069474752	0.408148300237585
Solyc06g009970.2.1	0.264664576943386	0.474153420870767	0.312105289330173
Solyc06g005160.2.1	0.10537277950208	0.0835420628155531	0.33198049808934
Solyc06g005500.2.1	0.430264581489131	0.269393703189074	0.116197183098592
Solyc06g005710.2.1	0.250420839996633	0.141229093737845	0.478941646794782
Solyc06g011280.2.1	0.378053080011752	0.168076618865848	0.301939832319579
Solyc06g048730.2.1	0.1830068621335	0.110543376737542	0
Solyc06g060340.2.1	0.161824228922845	0.140398532764945	0.482117610095827
Solyc06g061190.1.1	0	0.135909867801458	0.0693493085450874
Solyc06g062950.1.1	0.0982787767020132	0.0801306741989786	0
Solyc06g072540.1.1	0.268689153309077	0.100483431484574	0.495836716498702
Solyc06g073090.2.1	0.0931966580074423	0	0.155306107377594
Solyc06g073260.2.1	0.303871144870504	0.157214866351922	0.267618250609965
Solyc06g074290.1.1	0.29637002080025	0.220517047583365	0.23405271959863
Solyc06g076150.2.1	0.170957795336288	0.14596335230814	0.259766604101333
Solyc06g082090.2.1	0	0.215798415851061	0.293537355313925
Solyc06g082660.2.1	0	0.47524908784732	0.432275593720649
Solyc06g083390.2.1	0	0.344303842973721	0
Solyc06g083680.2.1	0	0.0541236545819914	0
Solyc07g005810.2.1	0.0235165312831101	0.0182314235275237	0.0310694549108264
Solyc07g005830.2.1	0.0769485094850949	0.079121898808361	0.100610883369504
Solyc07g008560.2.1	0.226814369515683	0.25510812390415	0.16944544113543
Solyc07g016150.2.1	0.398397751229796	0.153239740820734	0
Solyc07g018360.2.1	0.207437563896597	0.136209121335538	0.107134111501102
Solyc07g032250.2.1	0.145021404347584	0	0
Solyc07g044860.2.1	0.054362246654578	0.0463125487139517	0.00266831116831117
Solyc07g047800.2.1	0	0.0705313100124261	0.206646058732612
Solyc07g049530.2.1	0	0.0901785027905475	0
Solyc07g053970.2.1	0	0.397160985550204	0.309613014542766
Solyc07g055060.2.1	0.115881481481481	0.103215869469551	0.159245788667688
Solyc07g061790.2.1	0.203323496686179	0.118737634256642	0.289683065906378
Solyc07g066430.2.1	0	0.129093341566327	0
Solyc08g007220.2.1	0.00571475541837214	0.0116120957648674	0.0625141760446654
Solyc08g029000.2.1	0.00477571792075609	0.00117241645641316	0
Solyc08g062920.2.1	0.25070166422896	0.270972346119536	0.0899407948783321
Solyc08g066180.2.1	0	0.45900022273841	0
Solyc08g068340.2.1	0.14430459408433	0.16107488638609	0.277564485396582
Solyc08g069030.2.1	0.188948363220509	0.0462896658242067	0.231836854460094
Solyc08g079880.1.1	0	0.443660752920814	0
Solyc08g080130.2.1	0.152115187206224	0.095395004474819	0
Solyc08g080900.2.1	0.238331297879427	0.280855369670804	0.335117546160831
Solyc09g009020.2.1	0.279862616019953	0.239197179895383	0.347652405231656
Solyc09g009940.2.1	0.00299476032584224	0.00477752841010295	0.0156682557328861
Solyc09g011810.2.1	0.0896570288501124	0.138401919173279	0.0626266443336874
Solyc09g013080.2.1	0	0.389019635392883	0
Solyc09g014520.2.1	0.101291843004676	0.0873767258382643	0.327879227575135
Solyc09g063130.2.1	0.0639915817232111	0.0437871886810738	0.215504020946325
Solyc09g082060.2.1	0	0.146660128582325	0
Solyc09g082760.2.1	0	0.0784540869825735	0
Solyc09g090520.2.1	0.117973616709417	0.169890297635105	0.152349000505393
Solyc10g005100.2.1	0	0.0532751853467074	0
Solyc10g007150.2.1	0.441667484060814	0.293983001738459	0.480117308423397
