RepIn_1	RepIn_2	RepIn_3
Solyc00g009020.2.1	0.13307210031348	0.0426999715654323	0.486511133064823
Solyc00g042130.1.1	0.0986578525641026	0.0522353840275124	0.247479175800088
Solyc00g174340.1.1	0	0.0258958837772397	0
Solyc00g230080.1.1	0.18115279629277	0.109515925859277	0.232445990775953
Solyc01g005620.2.1	0.305204061492577	0.268730400501747	0.42816521632553
Solyc01g007320.2.1	0.170416707392565	0.0741789804211304	0.238846176079542
Solyc01g007330.2.1	0.23564840362633	0.146868667975934	0.190291664201621
Solyc01g007380.1.1	0.198436585569768	0.0802871214502777	0.2872198421646
Solyc01g007500.2.1	0.0790181996245817	0.0781693977620385	0.251078715613813
Solyc01g007520.2.1	0.0767466912896276	0.0688575514419639	0
Solyc01g007530.2.1	0.0415439364905557	0.0708195121951219	0.0871825926731054
Solyc01g007740.2.1	0	0.34287503354504	0
Solyc01g008330.2.1	0.248779999499487	0.254155789473684	0
Solyc01g009990.2.1	0.216305445862797	0.08765572465769	0
Solyc01g028810.2.1	0.360240197809961	0.218972107274852	0.370258258919358
Solyc01g066520.2.1	0.278082311925801	0	0
Solyc01g067290.2.1	0	0.0673516439454691	0
Solyc01g079090.2.1	0	0.0171592428879066	0
Solyc01g079790.2.1	0.104069941715237	0.0150648784643119	0
Solyc01g079940.2.1	0.274180366815547	0	0
Solyc01g080280.2.1	0.195242566510172	0.125854798032001	0.0473390205371248
Solyc01g089970.2.1	0.240819170446472	0.22208990189858	0.335591283767241
Solyc01g095670.2.1	0.325768287230057	0.0945298254753842	0.465013371068127
Solyc01g097340.2.1	0	0.148371684867395	0
Solyc01g097460.2.1	0.0594617150010432	0.0236735627330941	0
Solyc01g098640.2.1	0.0309264155962011	0.0163418903150525	0.108468428995667
Solyc01g100360.2.1	0.0407463599969401	0.180426930516802	0.242752935082873
Solyc01g102570.2.1	0.061530858096003	0.0561197267743543	0.284602821987564
Solyc01g103750.2.1	0	0.054216538230311	0
Solyc01g105030.2.1	0.0676757702924082	0.0809962584464176	0.188859453922504
Solyc01g105070.2.1	0	0.0311589681805469	0
Solyc01g105540.2.1	0.266402801035165	0.0644671241715057	0
Solyc01g105560.2.1	0.314149904933453	0.1584367222085	0
Solyc01g106260.2.1	0.30470949040037	0.189393337945583	0.489256198347107
Solyc01g106480.2.1	0.229711001045122	0.114846832012624	0.27024081614119
Solyc01g106620.2.1	0.068075724169391	0.0175154579878253	0
Solyc01g107130.2.1	0	0.098474855729596	0
Solyc01g108630.2.1	0.263846978905971	0.0734716520581382	0
Solyc01g109850.2.1	0	0.121731369231486	0
Solyc01g109940.2.1	0.420442935508716	0.292595744680851	0
Solyc01g110000.2.1	0.224994455533378	0.281776121321167	0.297348058525605
Solyc01g110360.2.1	0.137627032520325	0.0788378207312917	0.039732330271532
Solyc01g111170.2.1	0.365512921940928	0.355042278040288	0.258957402954311
Solyc01g111510.2.1	0.165323465882936	0.0488377594146218	0.450771821498737
Solyc01g111630.2.1	0.0458517256960133	0.0294625696272265	0.0328220390106575
Solyc01g112060.2.1	0.085012156777881	0.0153015103570547	0.321146245059289
Solyc02g014150.2.1	0.101010840902432	0.02686630113876	0.212826285366596
Solyc02g020940.2.1	0.245799509757107	0.117438772499262	0.266326848595468
Solyc02g062340.2.1	0.161348657772062	0.0880069348452546	0.0176737251669677
Solyc02g063150.2.1	0.251232725770167	0.159047744225019	0.0824068276930174
Solyc02g065400.2.1	0.0314429790535299	0.031135347457273	0.0461062897760145
Solyc02g071620.2.1	0.391133951445651	0.286685172776874	0.259228488164017
Solyc02g072130.2.1	0.258663094062897	0.127544989928249	0.458810283355226
Solyc02g079950.2.1	0.140902103062354	0.0781939157677746	0.0447162083089526
Solyc02g080540.1.1	0.129567587431861	0.0460003948277564	0.31644939293907
Solyc02g080810.2.1	0.138475767665557	0.15625536209942	0.0884391901401371
Solyc02g082220.2.1	0.0632368007649751	0.149252485193206	0.125427773775216
Solyc02g083810.2.1	0.423497440768297	0.146534681034723	0.435124176381145
Solyc02g084440.2.1	0.221573793024454	0.111216762032986	0.0854942064606742
Solyc02g086160.2.1	0	0.115972970326119	0
Solyc02g086730.1.1	0.313420061622732	0.16825116853338	0.475511271866967
Solyc02g086820.2.1	0.181739314992174	0.12356170564789	0.217509710254922
Solyc02g086880.2.1	0	0.0898422892447768	0
Solyc02g086910.2.1	0.0472631050334145	0.0189025529603476	0
Solyc02g088700.2.1	0.0808984725965858	0.0196331360946746	0.481070073127835
Solyc02g089070.2.1	0.215245404043296	0.257717024289293	0.298936256597645
Solyc02g090030.2.1	0.0141533780357243	0.0453916126717461	0.0173470820535323
Solyc02g091560.2.1	0.173579418344519	0.102739906257709	0.284872177809013
Solyc02g092440.2.1	0.485637672641787	0	0
Solyc02g094470.2.1	0.334174477289113	0.181978269463445	0.409448327508737
Solyc03g005260.2.1	0	0.20275405371952	0
Solyc03g006140.2.1	0.0254490337248958	0.0241028172925602	0.018578295171071
Solyc03g006870.2.1	0	0.106162982514022	0
Solyc03g019780.2.1	0.255142903277894	0.315224707978618	0.362909197194076
Solyc03g025410.2.1	0.0615357912255087	0.0263639122386429	0.0761119886454685
Solyc03g034220.2.1	0.271291214635184	0.115398426948439	0.147385494709199
Solyc03g045090.2.1	0	0	0.272423199324544
Solyc03g058920.2.1	0	0.10468835804503	0
Solyc03g059180.2.1	0.0444527843699983	0.0076387141419225	0.0383442949244948
Solyc03g093690.2.1	0.135167214692437	0.103055314624661	0
Solyc03g096540.2.1	0.0536981218245133	0.0103884575324306	0.0311684975679073
Solyc03g096550.2.1	0.157084045854709	0.0745885119247565	0.140012378152561
Solyc03g096850.2.1	0.202104197741317	0.373070779674553	0.325223580090837
Solyc03g098730.1.1	0.0388986941440522	0	0.064252068208678
Solyc03g112070.2.1	0.325813692480359	0.0667068186706819	0.304770293609672
Solyc03g112870.2.1	0	0.17949577952932	0
Solyc03g114150.2.1	0.257658621904899	0.0814090897101105	0
Solyc03g114930.2.1	0	0.0604359338424345	0
Solyc03g115110.2.1	0.156574433681411	0.0375089667631977	0.194786322626298
Solyc03g115980.1.1	0.30360950797222	0.11576582494679	0.218715032483257
Solyc03g117430.2.1	0.326623184109102	0.178129763195525	0
Solyc03g118130.2.1	0	0.107632884340137	0.311637107776262
Solyc12g044280.1.1	0	0.0114686962276638	0.0621945025395877
Solyc03g121540.2.1	0.139199127202198	0.474552485832735	0.219443200781473
Solyc04g005160.1.1	0	0.200231394688635	0
Solyc04g007550.2.1	0.174168861092824	0.0920961112867531	0.336218745737459
Solyc04g009030.2.1	0.188486071861122	0.115686067670561	0.278526148969889
Solyc04g009200.2.1	0.33603044826614	0.169931782403358	0.0486085002980148
Solyc04g054690.2.1	0.0629667414813303	0.429751838235294	0.0319310796788815
Solyc04g074480.2.1	0.0782340541806542	0.0956533278287281	0.0135285659509202
Solyc04g074640.2.1	0.051125251758662	0.0305564773452457	0.053616599390978
Solyc04g080080.2.1	0.216557597489915	0.272157064913863	0.46409058320354
Solyc04g081970.2.1	0	0.0733549416575247	0
Solyc04g082010.1.1	0	0.0934504144206805	0
Solyc04g082630.2.1	0.175904491188175	0.123714359548626	0.200072660728222
Solyc05g005480.2.1	0	0.0884291303039422	0
Solyc05g008450.2.1	0	0.111464191976003	0
Solyc05g010670.2.1	0.1855999208107	0.15998175286537	0.0801946262866715
Solyc05g012480.2.1	0.0859266305963494	0.0122879512831666	0.299900350765306
Solyc05g013380.2.1	0.305770523283725	0.335187287173666	0.0816185375961244
Solyc05g014310.2.1	0.0599514449787572	0.158882561876304	0.0905192429465982
Solyc05g014470.2.1	0.36686068343973	0.177145042414129	0.353527902008699
Solyc05g046330.2.1	0.382922120369104	0.288534811222723	0.361116378288694
Solyc05g050120.2.1	0.048688514659559	0.0254273123831568	0.016059477773654
Solyc05g052280.2.1	0.0776407749411552	0.0574133718347401	0.0299278116038256
Solyc05g052600.2.1	0.233701139916544	0.110508125151589	0.189189189189189
Solyc05g053100.2.1	0.0252865712159026	0.132543332154227	0.205609082540657
Solyc05g053300.2.1	0.281013419713096	0.203326313181368	0.17059179474767
Solyc05g053600.2.1	0.0859941944847605	0.0603308382939431	0.0590985179439023
Solyc06g008160.2.1	0.222892498066512	0.0914502694757472	0.468109171379395
Solyc06g009940.1.1	0.0112151961390917	0	0.0249653409193209
Solyc06g054260.1.1	0.0870654984199943	0.0906629501035095	0.113312101910828
Solyc06g060250.2.1	0.284240956324713	0.108919961427194	0
