RepI_1	RepI_2	RepI_3
Solyc01g068210.2.1	2.59252303014042	4.02706613994602	2.88892508143322
Solyc01g081010.2.1	2.38794435857805	4.09693177101625	2.07394849438928
Solyc01g081490.2.1	4.08841458779891	Inf	Inf
Solyc01g094460.2.1	2.81228564895968	5.31351330234012	2.54652814111668
Solyc01g095480.2.1	2.28300880234729	2.31171603949827	2.31492361927145
Solyc01g099410.2.1	3.9006339690708	3.5181784107946	2.90859170963638
Solyc01g105780.2.1	2.68769786170508	2.82598499061914	2.08376797465269
Solyc01g106280.2.1	2.63271604938272	4.2048257086425	2.22408451119832
Solyc02g065370.2.1	4.05811898684469	Inf	3.54037795811815
Solyc02g067310.2.1	2.83662814979813	2.94182654053576	2.2531263475636
Solyc02g067320.1.1	2.50949012424531	Inf	2.90248023247956
Solyc02g068990.2.1	2.94449188727583	Inf	Inf
Solyc02g071580.2.1	4.37848442736859	4.41682875873496	3.6760665064707
Solyc02g084240.2.1	2.88194368157018	2.77704971079562	4.21974764366069
Solyc02g084340.1.1	3.56100131752306	6.09684397359809	2.05356036384366
Solyc03g058350.2.1	3.41164001075728	2.31933919369506	5.37079292641187
Solyc03g083240.2.1	2.16483568075117	Inf	2.07025101042331
Solyc03g097300.2.1	2.1645984697486	4.52471830503051	3.5897469951524
Solyc03g097370.2.1	2.74241030358786	3.03192598975103	3.35497569081174
Solyc03g117010.2.1	2.47542027861633	Inf	Inf
Solyc03g117510.2.1	4.08583049721922	8.48778552400385	3.52451495746918
Solyc04g005820.2.1	3.27232509637869	2.87705680022311	Inf
Solyc04g009180.1.1	2.9420565452054	Inf	4.56388827798548
Solyc04g016530.2.1	2.65700652585783	Inf	3.91669418758256
Solyc04g050760.2.1	2.43087652934571	Inf	Inf
Solyc04g079830.2.1	3.31089720821198	Inf	2.4828738512949
Solyc05g007120.2.1	Inf	Inf	2.43235347818149
Solyc05g012100.2.1	2.0033794922519	3.44086442469561	3.85147869377111
Solyc06g062600.2.1	3.77115093932196	2.2204828527555	Inf
Solyc06g068230.2.1	2.5250886974151	4.16799080075267	2.91872223073387
Solyc06g071170.2.1	Inf	Inf	2.22407704654896
Solyc07g007120.2.1	3.19668333130106	3.89697391996815	3.00544446140538
Solyc07g008330.2.1	2.50118446801936	2.38586017282011	2.09114841427156
Solyc07g041970.2.1	2.91147295526858	3.64909215403868	2.64692538370459
Solyc07g044930.2.1	2.05992366412214	2.45298977665547	Inf
Solyc07g045420.2.1	2.51549564388193	2.63023980662808	3.89188972912415
Solyc07g052900.1.1	3.31937838013944	3.59648135644084	2.94182676103809
Solyc07g064350.1.1	2.03573006754624	3.05677191365138	2.35933339907307
Solyc08g005490.2.1	2.10300279329609	2.45715436511932	2.50541845697555
Solyc08g005960.1.1	2.5906421488399	5.55111195751074	2.20789280043376
Solyc08g006950.2.1	2.59246912644897	Inf	Inf
Solyc08g041820.2.1	2.17669184618732	Inf	2.07255903322041
Solyc08g042050.2.1	5.90412419215138	4.51145527168588	4.21334431630972
Solyc08g078670.2.1	4.20422059107591	2.17147422180376	4.90685966016362
Solyc09g083380.2.1	11.3266882155311	3.86406135667633	13.7432804510292
Solyc10g078540.1.1	16.6745648802344	9.91615125980657	2.14367973025917
Solyc11g071220.1.1	2.30073418674699	3.39666120442442	2.219460521488
Solyc11g072490.1.1	3.61349086253056	Inf	4.07284566699124
Solyc12g056510.1.1	2.69786758246146	3.30203526844797	2.72879553697581
Solyc12g094440.1.1	3.18897752522493	8.40420602388166	2.56197747824603
