RepIn_1	RepIn_2	RepIn_3
Solyc01g087970.2.1	2.87304246485542	2.20945530163176	2.24314833847208
Solyc01g091200.2.1	2.66574478676918	Inf	Inf
Solyc02g069940.2.1	2.95785303666637	2.65182883456254	2.66213414634146
Solyc02g080670.2.1	2.98412022154228	5.77831871406388	3.28655674569744
Solyc02g089350.2.1	Inf	Inf	7.07472731492226
Solyc03g078640.1.1	2.11322138300213	2.84349351104875	4.07794132174257
Solyc03g117250.2.1	51.9698619078489	Inf	72.2858942065491
Solyc03g121600.2.1	14.0016765128533	Inf	19.1064780342517
Solyc05g009890.1.1	3.04051534860599	3.69281127408111	2.11438444924406
Solyc08g077200.2.1	3.09438403766394	2.48168770632323	2.22520223212355
Solyc08g082250.2.1	Inf	6.42099574410592	2.26274632467939
Solyc08g083320.2.1	6.7760155180283	9.17757774140753	9.18642400393507
Solyc09g092080.2.1	2.70478235583591	2.89772394827687	3.52249028038827
Solyc09g075360.2.1	2.70897072288349	13.8580869349384	2.28068710734487
Solyc09g092330.1.1	4.90639923591213	3.58283968900407	5.85221832109799
Solyc09g092710.2.1	6.61152769285232	6.9227233930799	15.6712245977185
