proteinGroups.nucl$LFQ.intensity.8hrsNI.Rep1	proteinGroups.nucl$LFQ.intensity.8hrsNI.Rep2	proteinGroups.nucl$LFQ.intensity.8hrsNI.Rep3	proteinGroups.nucl$LFQ.intensity.8hrsI.Rep1	proteinGroups.nucl$LFQ.intensity.8hrsI.Rep2	proteinGroups.nucl$LFQ.intensity.8hrsI.Rep3	proteinGroups.nucl$LFQ.intensity.24hrsNI.Rep1	proteinGroups.nucl$LFQ.intensity.24hrsNI.Rep2	proteinGroups.nucl$LFQ.intensity.24hrsNI.Rep3	proteinGroups.nucl$LFQ.intensity.24hrsI.Rep1	proteinGroups.nucl$LFQ.intensity.24hrsI.Rep2	proteinGroups.nucl$LFQ.intensity.24hrsI.Rep3
Solyc00g007070.2.1	43914000	45399000	61623000	33363000	43496000	20522000	49896000	53344000	48058000	38550000	19650000	34152000
Solyc00g007160.1.1	0	0	554740	0	0	0	0	0	0	0	0	0
Solyc00g007270.2.1	15663000	42714000	16608000	30689000	28440000	31876000	38586000	28250000	18547000	13734000	12915000	22482000
Solyc00g244290.1.1	0	0	0	0	0	0	0	0	0	0	6920600	0
Solyc00g014830.2.1	0	1430700	1328600	1636800	1616100	1309300	1093400	3221500	1107800	4700100	21374000	2532000
Solyc00g019950.1.1	0	0	0	0	698050	0	742390	1055200	825130	2062500	5118400	1383000
Solyc00g027770.2.1	1424100	0	557080	0	1178400	1154200	0	1273300	0	0	0	0
Solyc00g082150.2.1	6270600	7285500	5725800	3662200	6802400	5765700	4300800	5502200	5367000	4313300	3610800	3786000
Solyc00g184350.2.1	7544100	11879000	8276000	12724000	11033000	13044000	12313000	12095000	10803000	9915200	10052000	8036700
Solyc01g005220.2.1	0	10241000	0	0	0	0	0	0	0	0	0	0
Solyc01g005520.2.1	0	506140	790520	844880	1333000	221750	433280	0	335160	14124000	101150000	4036400
Solyc01g005810.2.1	56313000	33428000	35985000	56395000	42920000	32572000	59782000	47470000	29976000	20206000	16655000	32881000
Solyc01g005820.2.1	594300000	596910000	453220000	339780000	363210000	308230000	555440000	449380000	415040000	420980000	217200000	263400000
Solyc01g005960.2.1	6823600	8014000	7548900	5590300	10170000	4362600	5385500	7800800	6285100	7136200	4698400	5191300
Solyc01g006010.2.1	27287000	29290000	24626000	29927000	43683000	33682000	32252000	45833000	20631000	24794000	22110000	22881000
Solyc01g006030.2.1	38214000	16411000	0	13108000	0	0	36601000	37297000	25651000	0	0	0
Solyc01g006040.2.1	796030	910190	652620	720280	0	0	1091700	0	0	0	0	0
Solyc01g006120.2.1	11740000	10357000	12601000	6194800	8017000	6039500	8282300	7135700	8730600	9994400	2363200	7496400
Solyc01g006170.2.1	26976000	17042000	20448000	32963000	15327000	10539000	22485000	27700000	17232000	9532200	4724900	16213000
Solyc01g006300.2.1	0	0	0	0	0	0	0	0	0	0	0	312630
Solyc01g006330.2.1	0	0	1182300	0	1293200	1342200	1212100	0	0	1671900	20013000	3523400
Solyc01g006360.2.1	0	0	0	0	0	1118500	0	0	1027000	4447300	0	0
Solyc01g006370.2.1	6321200	5693500	4868800	5861400	7419100	5519100	5414600	5339800	4881200	4624200	3884700	3555900
Solyc01g006400.2.1	0	0	0	0	0	0	0	0	0	0	2090500	2534200
Solyc01g006530.1.1	823100	0	0	0	0	0	0	0	0	0	0	0
Solyc01g006540.2.1	11451000	32280000	22256000	21856000	59048000	36031000	13812000	30720000	21348000	26828000	62261000	21322000
Solyc01g006560.2.1	1283700	1438000	801920	2336600	10154000	1079600	1354500	1544800	1295500	35011000	132240000	28021000
Solyc01g006940.2.1	0	1945200	0	2333100	1839600	2588100	1816800	2125300	0	1819100	4174000	3025800
Solyc01g006950.2.1	0	0	0	0	0	0	0	0	0	6299200	6258500	2981700
Solyc01g006970.2.1	0	0	0	0	0	0	0	0	0	0	0	288310
Solyc01g007140.2.1	6969100	6814200	9545400	4753500	5912400	2918500	7030100	6428000	8213000	4235800	2570000	5066000
Solyc01g007150.2.1	1158700	1663700	1786300	1311800	2386000	0	2108200	3096700	2423700	2684300	1836800	3357700
Solyc01g007250.2.1	35159000	39468000	44756000	47753000	45888000	28072000	54607000	95379000	59071000	28692000	14533000	60842000
Solyc01g007280.2.1	18798000	40971000	19150000	21822000	28985000	24190000	38652000	26405000	19390000	28689000	56906000	20876000
Solyc01g007290.1.1	0	0	0	0	0	0	1606100	0	0	2191700	5852900	3046200
Solyc01g007300.1.1	0	2020900	0	0	2580800	0	0	2020400	0	7022100	23963000	2365700
Solyc01g007340.2.1	0	966570	0	0	0	0	749050	754340	0	964770	2671900	1059300
Solyc01g007360.2.1	0	0	0	0	0	0	0	0	0	0	1045000	0
Solyc01g007460.2.1	6192500	34808000	16794000	8198500	13226000	34195000	6740200	15696000	12433000	15899000	45396000	11356000
Solyc01g007470.1.1	0	0	1421000	1990500	0	1819800	1841900	0	2450700	1554600	2195900	0
Solyc01g007490.2.1	0	0	0	0	0	0	0	0	0	500620	0	0
Solyc01g007550.1.1	58138000	13175000	43129000	26316000	7890100	25744000	19449000	8802500	19957000	9578400	6245600	8484300
Solyc01g007560.2.1	109030000	61483000	75637000	54744000	57244000	61425000	77877000	57825000	65844000	45397000	30137000	42838000
Solyc01g007570.2.1	43869000	36692000	25812000	33364000	31111000	45069000	30839000	28684000	27491000	38808000	78723000	28637000
Solyc01g007580.2.1	14908000	21352000	48788000	14923000	26382000	52159000	16459000	11586000	57757000	26998000	52691000	21909000
Solyc01g007600.2.1	5740800	12554000	6796100	9548000	19581000	20732000	6632700	13325000	4881900	7953500	16209000	17122000
Solyc01g007610.2.1	170360000	170610000	113370000	117610000	142680000	122130000	143530000	138090000	112550000	128210000	188260000	115490000
Solyc01g007630.2.1	134190000	110920000	74229000	92902000	102870000	121280000	94514000	85102000	88852000	120160000	135280000	77926000
