proteinGroups.nonucl$LFQ.intensity.8hrsNI.Rep1	proteinGroups.nonucl$LFQ.intensity.8hrsNI.Rep2	proteinGroups.nonucl$LFQ.intensity.8hrsNI.Rep3	proteinGroups.nonucl$LFQ.intensity.8hrsI.Rep1	proteinGroups.nonucl$LFQ.intensity.8hrsI.Rep2	proteinGroups.nonucl$LFQ.intensity.8hrsI.Rep3	proteinGroups.nonucl$LFQ.intensity.24hrsNI.Rep1	proteinGroups.nonucl$LFQ.intensity.24hrsNI.Rep2	proteinGroups.nonucl$LFQ.intensity.24hrsNI.Rep3	proteinGroups.nonucl$LFQ.intensity.24hrsI.Rep1	proteinGroups.nonucl$LFQ.intensity.24hrsI.Rep2	proteinGroups.nonucl$LFQ.intensity.24hrsI.Rep3
Solyc00g009020.2.1	0	1236700	1258500	1698000	1952200	1280400	1988500	1578300	1350900	12760000	45719000	2631800
Solyc00g042130.1.1	10782000	39168000	17184000	24625000	28707000	33870000	17277000	18656000	33323000	249600000	549570000	136860000
Solyc00g042140.1.1	0	0	0	7606800	5856200	0	0	0	0	8376000	8202100	2985900
Solyc00g071180.2.1	208700000	435730000	64471000	1.84e+08	348350000	374260000	802470000	473830000	276470000	584060000	210780000	207910000
Solyc00g094530.1.1	0	0	0	0	0	0	0	0	0	0	7960500	0
Solyc00g156980.2.1	7294400	2038400	0	0	0	0	3579300	0	0	0	0	0
Solyc00g174340.1.1	0	0	0	0	342240	0	0	0	0	7665700	13216000	25793000
Solyc00g187050.2.1	0	0	0	0	0	0	0	0	0	0	4510000	0
Solyc00g206460.1.1	0	1171000	0	0	0	0	0	0	0	0	0	0
Solyc00g230080.1.1	5446300	9093800	8113400	28537000	30429000	28728000	10743000	9824900	13474000	157530000	277850000	123590000
Solyc01g005250.2.1	0	0	0	0	0	0	989270	0	0	1597000	7720600	0
Solyc01g005560.2.1	0	0	0	0	0	0	0	0	0	4083300	10788000	3110000
Solyc01g005620.2.1	14052000	14881000	29279000	13917000	29993000	17467000	12651000	19595000	18416000	45599000	111610000	40795000
Solyc01g006020.2.1	3043500	2945300	2855600	0	0	4515600	1829800	2409700	3951100	2119600	0	3438100
Solyc01g006280.2.1	0	0	131840	0	0	0	0	0	0	0	0	0
Solyc01g006290.2.1	2250300	1182300	1658700	1335700	0	1142700	3052600	4224800	3552800	1163800	0	0
Solyc01g006350.2.1	0	0	0	0	0	0	0	0	0	2233500	0	2092900
Solyc01g006430.2.1	273690	0	0	0	0	0	0	0	0	0	0	0
Solyc01g006450.2.1	0	0	0	835250	0	0	0	1204300	936840	1447900	5227200	1029900
Solyc01g006510.2.1	0	0	0	0	0	0	0	0	0	0	2770900	0
Solyc01g006900.2.1	0	0	0	0	0	0	0	0	0	2568900	8237700	0
Solyc01g006980.2.1	0	0	0	0	0	0	0	0	0	1302400	6246500	971300
Solyc01g007320.2.1	172840000	438600000	107310000	523060000	803210000	413180000	317760000	386700000	374470000	3069300000	1.0828e+10	1729900000
Solyc01g007330.2.1	534320000	697080000	299090000	2989200000	4711400000	1286600000	760740000	766750000	754370000	1.2685e+10	3.2079e+10	6761200000
Solyc01g007380.1.1	27222000	76410000	37723000	71205000	76618000	63691000	46836000	70367000	70675000	358830000	954300000	221750000
Solyc01g007500.2.1	73139000	105830000	38514000	96821000	186520000	184460000	78453000	95618000	110990000	1225300000	2386100000	734670000
Solyc01g007520.2.1	0	0	0	9974000	8667100	0	0	0	0	129960000	125870000	38304000
Solyc01g007530.2.1	1466500	8572900	4092400	4552800	21777000	8422100	2590700	4355700	7675100	109590000	307500000	96603000
Solyc01g007590.2.1	27661000	22158000	20327000	21105000	20228000	23474000	18322000	10943000	12793000	19240000	69218000	16904000
Solyc01g007620.2.1	0	0	0	0	0	0	0	0	0	0	0	4455200
Solyc01g007740.2.1	0	0	0	0	2299800	0	0	0	0	3283300	6707400	3392600
Solyc01g007910.2.1	0	0	0	0	0	0	0	0	0	0	1232200	0
