ShortenedID	Majority protein IDs	Rep24_1	Rep24_2	Rep24_3
Solyc01g005520.2.1	"Solyc01g005520.2.1 genomic_reference:SL2.40ch01 gene_region:349916-352687 transcript_region:SL2.40ch01:349916..352687+ go_terms:GO:0005515,GO:0005488 functional_description:""Tetratricopeptide TPR_2 repeat protein (AHRD V1 *--- A8ZVN6_DESOH); contains Interpro domain(s)  IPR001478  PDZ/DHR/GLGF """	32.5978582	Inf	12.04320325
Solyc01g007300.1.1	"Solyc01g007300.1.1 evidence_code:10F0H1E1IEG genomic_reference:SL2.40ch01 gene_region:1846093-1846770 transcript_region:SL2.40ch01:1846093..1846770- go_terms:GO:0055114 functional_description:""NAD(P)H-quinone oxidoreductase subunit K chloroplastic (AHRD V1 ***- D3WB90_9BORA); contains Interpro domain(s)  IPR006138  NADH:ubiquinone oxidoreductase, 20 kDa subunit """	Inf	11.86052267	Inf
Solyc01g073640.2.1	"Solyc01g073640.2.1 genomic_reference:SL2.40ch01 gene_region:70261788-70263255 transcript_region:SL2.40ch01:70261788..70263255+ go_terms:GO:0008152,GO:0055114 functional_description:""Uncharacterized oxidoreductase Mb1385 (AHRD V1 ***- Y1385_MYCBO); contains Interpro domain(s)  IPR002347  Glucose/ribitol dehydrogenase """	7.19710779	20.77933183	Inf
Solyc01g080840.2.1	"Solyc01g080840.2.1 genomic_reference:SL2.40ch01 gene_region:72636857-72653421 transcript_region:SL2.40ch01:72636857..72653421- go_terms:GO:0006886,GO:0016020 functional_description:""Protein translocase subunit secA (AHRD V1 ***- B9I9A8_POPTR); contains Interpro domain(s)  IPR000185  SecA protein """	6.900009736	Inf	Inf
Solyc01g090190.2.1	"Solyc01g090190.2.1 genomic_reference:SL2.40ch01 gene_region:75571683-75577506 transcript_region:SL2.40ch01:75571683..75577506- functional_description:""Nuclear RNA binding protein (AHRD V1 ***- C7TPG6_SOLTU); contains Interpro domain(s)  IPR006861  Hyaluronan/mRNA binding protein """	Inf	Inf	12.36528918
Solyc01g096240.2.1	"Solyc01g096240.2.1 genomic_reference:SL2.40ch01 gene_region:79091598-79095176 transcript_region:SL2.40ch01:79091598..79095176+ functional_description:""Homology to unknown gene (AHRD V1 ***- Q01FV7_OSTTA)"""	2.116438487	Inf	Inf
Solyc01g100650.2.1	"Solyc01g100650.2.1 genomic_reference:SL2.40ch01 gene_region:82378816-82399452 transcript_region:SL2.40ch01:82378816..82399452+ go_terms:GO:0016787,GO:0008152,GO:0016491,GO:0045454 functional_description:""NHL repeat containing 2 (AHRD V1 *--- B2RR26_MOUSE); contains Interpro domain(s)  IPR011042  Six-bladed beta-propeller, TolB-like """	7.854622742	Inf	Inf
Solyc01g102860.2.1	"Solyc01g102860.2.1 genomic_reference:SL2.40ch01 gene_region:83303739-83304848 transcript_region:SL2.40ch01:83303739..83304848+ functional_description:""Unknown Protein (AHRD V1)"""	Inf	7.73417608	2.082749375
Solyc01g104170.2.1	"Solyc01g104170.2.1 genomic_reference:SL2.40ch01 gene_region:84393496-84398307 transcript_region:SL2.40ch01:84393496..84398307- go_terms:GO:0008381 functional_description:""Ankyrin repeat domain-containing protein 2 (AHRD V1 ***- B6TNC0_MAIZE); contains Interpro domain(s)  IPR002110  Ankyrin """	10.91440279	Inf	Inf
Solyc01g108600.2.1	"Solyc01g108600.2.1 genomic_reference:SL2.40ch01 gene_region:87613555-87626715 transcript_region:SL2.40ch01:87613555..87626715+ go_terms:GO:0004222 functional_description:""Presequence protease, mitochondrial (AHRD V1 **-- PREP_DANRE); contains Interpro domain(s)  IPR013578  Peptidase M16C associated """	2.933190616	4.08083545	Inf
Solyc02g021560.2.1	"Solyc02g021560.2.1 genomic_reference:SL2.40ch02 gene_region:13906095-13908491 transcript_region:SL2.40ch02:13906095..13908491- go_terms:GO:0005515 functional_description:""Heterogeneous nuclear ribonucleoprotein A3-like protein 2 (AHRD V1 **-- B6TV58_MAIZE); contains Interpro domain(s)  IPR000504  RNA recognition motif, RNP-1 """	20.67717206	40.40327471	Inf
Solyc02g062130.2.1	"Solyc02g062130.2.1 genomic_reference:SL2.40ch02 gene_region:28283170-28286369 transcript_region:SL2.40ch02:28283170..28286369- go_terms:GO:0008266,GO:0003959 functional_description:""Ferredoxin--NADP reductase (AHRD V1 ***- D7MN04_ARALY); contains Interpro domain(s)  IPR012146  Ferredoxin--NADP reductase """	2.894382812	5.679462975	Inf
Solyc02g065300.1.1	"Solyc02g065300.1.1 evidence_code:10F0H1E1IEG genomic_reference:SL2.40ch02 gene_region:31069232-31072471 transcript_region:SL2.40ch02:31069232..31072471+ go_terms:GO:0004823 functional_description:""Leucyl-tRNA synthetase (AHRD V1 **** Q5PPJ6_RAT); contains Interpro domain(s)  IPR004493  Leucyl-tRNA synthetase, class Ia, archaeal/eukaryotic cytosolic """	Inf	6.481655358	Inf
Solyc02g079440.1.1	"Solyc02g079440.1.1 evidence_code:10F0H1E1IEG genomic_reference:SL2.40ch02 gene_region:38580436-38582052 transcript_region:SL2.40ch02:38580436..38582052- go_terms:GO:0050660 functional_description:""FAD-binding domain-containing protein (AHRD V1 **-- D7MFH6_ARALY); contains Interpro domain(s)  IPR006094  FAD linked oxidase, N-terminal """	34.34247016	Inf	Inf
Solyc02g090490.2.1	"Solyc02g090490.2.1 genomic_reference:SL2.40ch02 gene_region:46594534-46596748 transcript_region:SL2.40ch02:46594534..46596748- go_terms:GO:0004620 functional_description:""Patatin-like protein 3 (AHRD V1 ***- Q9FZ08_TOBAC); contains Interpro domain(s)  IPR002641  Patatin """	Inf	20.20469499	38.59513193
Solyc03g111840.2.1	"Solyc03g111840.2.1 genomic_reference:SL2.40ch03 gene_region:56501989-56506255 transcript_region:SL2.40ch03:56501989..56506255- go_terms:GO:0003676,GO:0000166 functional_description:""Polyadenylate-binding protein 1-like (AHRD V1 **-- PAP1L_HUMAN); contains Interpro domain(s)  IPR000504  RNA recognition motif, RNP-1 """	5.222722749	2.989544624	Inf
Solyc03g118240.2.1	"Solyc03g118240.2.1 genomic_reference:SL2.40ch03 gene_region:61214116-61216115 transcript_region:SL2.40ch03:61214116..61216115- go_terms:GO:0046406 functional_description:""Magnesium-protoporphyrin ix methyltransferase (AHRD V1 **** D7MGJ7_ARALY); contains Interpro domain(s)  IPR010251  Magnesium protoporphyrin O-methyltransferase """	7.650996727	Inf	Inf
Solyc03g120850.2.1	"Solyc03g120850.2.1 genomic_reference:SL2.40ch03 gene_region:63150621-63156052 transcript_region:SL2.40ch03:63150621..63156052- go_terms:GO:0042623 functional_description:""chaperonin (AHRD V1 ***- B2IXD2_NOSP7); contains Interpro domain(s)  IPR001844  Chaperonin Cpn60 """	4.207288944	30.33729989	Inf
Solyc03g121070.2.1	"Solyc03g121070.2.1 genomic_reference:SL2.40ch03 gene_region:63353339-63358640 transcript_region:SL2.40ch03:63353339..63358640- go_terms:GO:0004340 functional_description:""Hexokinase (AHRD V1 ***- Q8H0Q2_SOLLC); contains Interpro domain(s)  IPR019807  Hexokinase, conserved site  IPR001312  Hexokinase """	3.606395786	6.292764451	Inf
Solyc04g074310.2.1	"Solyc04g074310.2.1 genomic_reference:SL2.40ch04 gene_region:57910504-57917099 transcript_region:SL2.40ch04:57910504..57917099+ go_terms:GO:0003676,GO:0000166 functional_description:""RNA-binding protein 68390-68829 (AHRD V1 *--- Q9C805_ARATH); contains Interpro domain(s)  IPR000504  RNA recognition motif, RNP-1 """	2.006085026	Inf	Inf
Solyc04g080630.2.1	"Solyc04g080630.2.1 genomic_reference:SL2.40ch04 gene_region:62332069-62332925 transcript_region:SL2.40ch04:62332069..62332925+ go_terms:GO:0005840 functional_description:""50S ribosomal protein L31 (AHRD V1 ***- A5AHS8_VITVI); contains Interpro domain(s)  IPR002150  Ribosomal protein L31 """	3.540698446	Inf	Inf
Solyc05g009980.2.1	"Solyc05g009980.2.1 genomic_reference:SL2.40ch05 gene_region:4176174-4183453 transcript_region:SL2.40ch05:4176174..4183453- functional_description:""Protein LSM14 homolog B (AHRD V1 *--- LS14B_MOUSE); contains Interpro domain(s)  IPR019053  FFD and TFG box motifs """	156.2950876	34.07345455	Inf
Solyc06g005500.2.1	"Solyc06g005500.2.1 genomic_reference:SL2.40ch06 gene_region:525975-529157 transcript_region:SL2.40ch06:525975..529157+ go_terms:GO:0005515,GO:0004674 functional_description:""ATP binding / serine-threonine kinase (AHRD V1 **** C5DB71_VITVI); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase """	Inf	2.489727039	9.216991209
Solyc06g048730.2.1	"Solyc06g048730.2.1 genomic_reference:SL2.40ch06 gene_region:28105228-28112767 transcript_region:SL2.40ch06:28105228..28112767- go_terms:GO:0004853,GO:0042803 functional_description:""Uroporphyrinogen decarboxylase (AHRD V1 **** C6TEE8_SOYBN); contains Interpro domain(s)  IPR000257  Uroporphyrinogen decarboxylase (URO-D) """	Inf	6.829643527	Inf
Solyc06g061190.1.1	"Solyc06g061190.1.1 evidence_code:10F1H1E1IEG genomic_reference:SL2.40ch06 gene_region:35583227-35584333 transcript_region:SL2.40ch06:35583227..35584333- functional_description:""Hydroxyproline-rich glycoprotein family protein (AHRD V1 *-*- D7KHM1_ARALY); contains Interpro domain(s)  IPR008889  VQ """	Inf	Inf	13.42316543
