ShortenedID	Majority protein IDs	proteinGroups.nucl.LFQ.intensity.24hrsNI.Rep1	proteinGroups.nucl.LFQ.intensity.24hrsNI.Rep2	proteinGroups.nucl.LFQ.intensity.24hrsNI.Rep3	proteinGroups.nucl.LFQ.intensity.24hrsI.Rep1	proteinGroups.nucl.LFQ.intensity.24hrsI.Rep2	proteinGroups.nucl.LFQ.intensity.24hrsI.Rep3
Solyc01g006950.2.1	"Solyc01g006950.2.1 genomic_reference:SL2.40ch01 gene_region:1516340-1518150 transcript_region:SL2.40ch01:1516340..1518150- go_terms:GO:0043495 functional_description:""Syntaxin (AHRD V1 ***- Q6X9V9_HORVD); contains Interpro domain(s)  IPR010989  t-SNARE """	0	0	0	6299200	6258500	2981700
Solyc01g066840.2.1	"Solyc01g066840.2.1 genomic_reference:SL2.40ch01 gene_region:67445196-67447049 transcript_region:SL2.40ch01:67445196..67447049+ go_terms:GO:0003735 functional_description:""40S ribosomal protein S21 (AHRD V1 ***- D7M5J1_ARALY); contains Interpro domain(s)  IPR001931  Ribosomal protein S21e "";Solyc04g074910.2.1 genomic_reference:SL2.40ch04 gene_region:58412512-58414503 transcript_region:SL2.40ch04:58412512..58414503- go_terms:GO:0003735 functional_description:""40S ribosomal protein S21 (AHRD V1 ***- D7M5J1_ARALY); contains Interpro domain(s)  IPR001931  Ribosomal protein S21e "";Solyc04g074900.2.1 genomic_reference:SL2.40ch04 gene_region:58410476-58411839 transcript_region:SL2.40ch04:58410476..58411839- go_terms:GO:0003735 functional_description:""40S ribosomal protein S21 (AHRD V1 ***- D7M5J1_ARALY); contains Interpro domain(s)  IPR001931  Ribosomal protein S21e """	0	0	0	1525000	4156900	141380
Solyc01g067750.2.1	"Solyc01g067750.2.1 genomic_reference:SL2.40ch01 gene_region:69081973-69096361 transcript_region:SL2.40ch01:69081973..69096361+ go_terms:GO:0008152,GO:0005737,GO:0003855,GO:0055114 functional_description:""Shikimate dehydrogenase (AHRD V1 ***- B6TSW1_MAIZE); contains Interpro domain(s)  IPR001381  Dehydroquinase class I """	0	0	0	341020	1419500	317070
Solyc01g095070.2.1	"Solyc01g095070.2.1 genomic_reference:SL2.40ch01 gene_region:78197040-78199740 transcript_region:SL2.40ch01:78197040..78199740+ go_terms:GO:0030001 functional_description:""Heavy metal-associated domain containing protein expressed (AHRD V1 *-*- Q8S5W0_ORYSJ); contains Interpro domain(s)  IPR006121  Heavy metal transport/detoxification protein """	0	0	0	4949200	4285400	6992400
Solyc01g099370.2.1	"Solyc01g099370.2.1 genomic_reference:SL2.40ch01 gene_region:81419821-81421215 transcript_region:SL2.40ch01:81419821..81421215+ go_terms:GO:0005515 functional_description:""SRC2 homolog (Fragment) (AHRD V1 ***- B3IYJ9_9SOLA); contains Interpro domain(s)  IPR018029  C2 membrane targeting protein """	0	0	0	5685300	3733700	2563700
Solyc01g106010.2.1	"Solyc01g106010.2.1 genomic_reference:SL2.40ch01 gene_region:85756258-85758411 transcript_region:SL2.40ch01:85756258..85758411- go_terms:GO:0005975 functional_description:""Fructose-1 6-bisphosphatase class 1 (AHRD V1 ***- D3PE46_DEFDS); contains Interpro domain(s)  IPR000146  Fructose-1,6-bisphosphatase """	0	0	0	393000	1645200	434220
Solyc01g107330.2.1	"Solyc01g107330.2.1 genomic_reference:SL2.40ch01 gene_region:86657058-86659620 transcript_region:SL2.40ch01:86657058..86659620- functional_description:""SWIB/MDM2 domain protein (AHRD V1 ***- D6VG39_9BURK); contains Interpro domain(s)  IPR019835  SWIB domain """	0	0	0	2647100	2332200	842380
Solyc01g108660.2.1	"Solyc01g108660.2.1 genomic_reference:SL2.40ch01 gene_region:87650490-87656659 transcript_region:SL2.40ch01:87650490..87656659- go_terms:GO:0008800 functional_description:""N-acetyl-gamma-glutamyl-phosphate reductase (AHRD V1 ***- A7WPL0_TOBAC); contains Interpro domain(s)  IPR000706  N-acetyl-gamma-glutamyl-phosphate reductase """	0	0	0	2363500	6540100	1824700
Solyc01g109140.2.1	"Solyc01g109140.2.1 genomic_reference:SL2.40ch01 gene_region:87953424-87955263 transcript_region:SL2.40ch01:87953424..87955263+ go_terms:GO:0019825,GO:0009978 functional_description:""Cytochrome P450"""	0	0	0	5082900	14513000	2874700
Solyc01g111200.2.1	"Solyc01g111200.2.1 genomic_reference:SL2.40ch01 gene_region:89298730-89301282 transcript_region:SL2.40ch01:89298730..89301282+ go_terms:GO:0003743 functional_description:""Eukaryotic translation initiation factor 4B (AHRD V1 **** Q9AUJ7_WHEAT); contains Interpro domain(s)  IPR010433  Plant specific eukaryotic initiation factor 4B """	0	0	0	1232400	1145800	867620
